A. Une dispersion est composée de 2 phases miscibles	14. Indiquez la (les) proposition(s) exacte(s) concernant les dispersions :	UEPT140314	FAUX	A. Une dispersion est composée de 2 phases non miscibles.						
D. Les pâtes et les tablettes sont des poudres agglomérées.	20. Indiquez la (les) proposition(s) exacte(s) concernant les poudres orales.	UEPT140320	VRAI							
E. Les opérations nécessaires à la mise en forme pharmaceutique sont du domaine de la Pharmacotechnie.	20. Indiquez la (les) proposition(s) exacte(s) concernant les poudres orales.	UEPT140320	VRAI							
A. Il existe des capsules pour les voies cutanée ou oculaire.	21. Indiquez la (les) proposition(s) exacte(s) concernant les capsules.	UEPT140321	VRAI							
B. Les capsules molles sont en 2 parties.	21. Indiquez la (les) proposition(s) exacte(s) concernant les capsules.	UEPT140321	FAUX							
C. Les capsules molles sont remplies et fermées au cours d'un seul cycle de fabrication.	21. Indiquez la (les) proposition(s) exacte(s) concernant les capsules.	UEPT140321	VRAI							
D. Les capsules molles sont appelés aussi gélules.	21. Indiquez la (les) proposition(s) exacte(s) concernant les capsules.	UEPT140321	FAUX							
E. Les gélules de plus grande taille sont désignées par le chiffre « 5 » et les plus petites par le chiffre « 000 ».	21. Indiquez la (les) proposition(s) exacte(s) concernant les capsules.	UEPT140321	FAUX	contraire						
A. Les gélules sont fabriquées à l'officine à l'aide d'une géluleuse automatique.	22. Indiquez la (les) proposition(s) exacte(s) les gélules et les comprimés.	UEPT140322	FAUX	A. Faux, à l'Officine c'est un gélulier manuel ou semi-automatique, c'est en industrie que l'on utilise une géluleuse.						
B. L'étude des caractéristiques de la poudre à comprimer est une étape indispensable pour l'élaboration de comprimés.	22. Indiquez la (les) proposition(s) exacte(s) les gélules et les comprimés.	UEPT140322	VRAI							
C. Le stéarate de magnésium est un anti-adhérent.	22. Indiquez la (les) proposition(s) exacte(s) les gélules et les comprimés.	UEPT140322	VRAI							
D. Le «CMC » correspond à la « Compact Matrice Comprimated ».	22. Indiquez la (les) proposition(s) exacte(s) les gélules et les comprimés.	UEPT140322	FAUX	D. Entièrement faux, pure invention de ma part, CMC : carboxyméthylcellulose						
E. La granulation par voie humide permet d'obtenir des briquettes.	22. Indiquez la (les) proposition(s) exacte(s) les gélules et les comprimés.	UEPT140322	FAUX	E. Faux, C'est la granulation par voie sèche.						
A. Les comprimés effervescents ne sont jamais enrobés.	23. Indiquez la (les) proposition(s) exacte(s)	UEPT140323	VRAI							
B. Les comprimés orodispersibles se dispersent préalablement dans l'eau avant administration.	23. Indiquez la (les) proposition(s) exacte(s)	UEPT140323	FAUX	B. Faux, Orodispersibles : non enrobés à fondre dans la bouche, dispersion rapide.						
C. Les comprimés à usage buccale sont enrobés.	23. Indiquez la (les) proposition(s) exacte(s)	UEPT140323	FAUX							
D. Les formes pelliculées et les formes matricielles permettent de modifier la cinétique de libération du PA.	23. Indiquez la (les) proposition(s) exacte(s)	UEPT140323	VRAI							
E. Il existe 3 types de formes matricielles : Lipidique, Hydrophile et Amphiphile.	23. Indiquez la (les) proposition(s) exacte(s)	UEPT140323	FAUX	E. Faux, Lipidique, Hydrophile et inerte !						
A. Une dispersion est un système hétérogène.	24. Indiquez la (les) proposition(s) exacte(s) les formes pharmaceutiques obtenues par dispersion	UEPT140324	VRAI							
B. Lors de l'élaboration d'une suspension, on cherche à obtenir des sédiments floculés plus facilement dispersibles.	24. Indiquez la (les) proposition(s) exacte(s) les formes pharmaceutiques obtenues par dispersion	UEPT140324	VRAI							
C. Les particules d'une suspension doivent être d'une taille moyenne de 50 μm.	24. Indiquez la (les) proposition(s) exacte(s) les formes pharmaceutiques obtenues par dispersion	UEPT140324	VRAI							
D. Une émulsion eau dans huile est notée H/L.	24. Indiquez la (les) proposition(s) exacte(s) les formes pharmaceutiques obtenues par dispersion	UEPT140324	VRAI	hydrophile / lipophile = eau dans huile						
E. Le phénomène de coalescence dans une émulsion est irréversible.	24. Indiquez la (les) proposition(s) exacte(s) les formes pharmaceutiques obtenues par dispersion	UEPT140324	VRAI							
A. Un tensioactif à tendance lipophile a une valeur de sa balance Hydrophile/Lipophile (HLB) comprise entre 10 et 20.	25. Indiquez la (les) proposition(s) exacte(s) sur les émulsions et les aérosols.	UEPT140325	FAUX	entre 0 et 10						
B. Il existe des aérosols secs.	25. Indiquez la (les) proposition(s) exacte(s) sur les émulsions et les aérosols.	UEPT140325	VRAI							
C. La voie pulmonaire présente comme avantages une grande surface, un débit sanguin élevé et une grande épaisseur de la muqueuse.	25. Indiquez la (les) proposition(s) exacte(s) sur les émulsions et les aérosols.	UEPT140325	FAUX	C. Faux, attention de bien lire jusqu'à bout, la muqueuse pulmonaire présente une faible épaisseur.						
D. Pour atteindre les bronchioles terminales, les particules doivent avoir une taille moyenne entre 20 et 30 μm.	25. Indiquez la (les) proposition(s) exacte(s) sur les émulsions et les aérosols.	UEPT140325	FAUX	entre 10 et 3 μm						
E. Un spacer est une chambre d'inhalation adaptée pour l'administration des médicaments par voie pulmonaire chez les nourrissons et jeunes enfants.	25. Indiquez la (les) proposition(s) exacte(s) sur les émulsions et les aérosols.	UEPT140325	VRAI							
