E.La Saint Patrick, qui a lieu le 17 mars est une fête à ne pas manquer lorsque l'on n'est pas en PACES.	4. Concernant la spéciation (4R) :	UE7S110104	VRAI							segmo
B. L'enrichissement des relations sociales	8. Les conséquences du vieillissement portent sur :	UE7T130108	FAUX	B. Faux, l'appauvrissement des relations sociales						
C. L'augmentation des problèmes de santé	8. Les conséquences du vieillissement portent sur :	UE7T130108	VRAI	C. Vrai						
D. Un moindre recours aux soins par réticence des personnes âgées à aller consulter	8. Les conséquences du vieillissement portent sur :	UE7T130108	FAUX	D. Faux, on assiste à une explosion du recours aux soins chez les personnes âgées						
E. L'augmentation du nombre de personnes âgées vivant en résidence de type EHPAD.	8. Les conséquences du vieillissement portent sur :	UE7T130108	VRAI	E. Vrai						
A. Les moins de 20 ans représentent 15 %	9. Concernant la répartition de la population en France actuellement, quelles réponses sont exactes :	UE7T130109	FAUX	A. Faux, les moins de 20 ans représentent 25 % de la population française, ce qui correspond à 16 millions d'habitants						
B. La majorité de la population se trouve dans la catégorie 65 ans et plus	9. Concernant la répartition de la population en France actuellement, quelles réponses sont exactes :	UE7T130109	FAUX	B. Faux, la majorité de la population française se trouve dans la classe des 20 à 59 ans représentant 59%						
C. Il y a 65 millions d'habitants dont 34 % de 20-­‐59 ans	9. Concernant la répartition de la population en France actuellement, quelles réponses sont exactes :	UE7T130109	FAUX	C. Faux, 34 millions						
D. La pyramide des âges montre une distribution symétrique	9. Concernant la répartition de la population en France actuellement, quelles réponses sont exactes :	UE7T130109	FAUX	D. Faux						
E. La connaissance des disparités démographiques contribue à adapter les soins à la population.	9. Concernant la répartition de la population en France actuellement, quelles réponses sont exactes :	UE7T130109	VRAI	E. Vrai						
A. Elle entraine une augmentation du vieillissement de la population	10. Concernant l'immigration, quelles propositions sont exactes ?	UE7T130110	FAUX	A. Faux, l'immigration permet de lutter contre le vieillissement (exemple de l'Allemagne qui la favorise)						
B. Le travail, le regroupement familial, les études ou encore les réfugiés politiques sont les principaux motifs de l'immigration	10. Concernant l'immigration, quelles propositions sont exactes ?	UE7T130110	VRAI	B. Vrai						
C. Les pathologies d'adaptation représentent les maladies amenées par les étrangers ou immigrés en France	10. Concernant l'immigration, quelles propositions sont exactes ?	UE7T130110	FAUX	C. Faux, il s'agit des pathologies d'importation						
D. Les pathologies d'acquisition sont les pathologies qui concernent l'ensemble de la population quelle que soit son origine	10. Concernant l'immigration, quelles propositions sont exactes ?	UE7T130110	VRAI	D. Vrai						
E. Les pathologies d'importation sont les maladies que les immigrés ou étrangers contractent lors de leur installation en France.	10. Concernant l'immigration, quelles propositions sont exactes ?	UE7T130110	FAUX	E. Faux, il s'agit des pathologies d'adaptation						
A. L'épidémiologie analytique reflète l'état de santé de la population.	11. Concernant l'épidémiologie, quelles propositions sont vraies :	UE7T130111	FAUX	A. Faux, c'est l'épidémiologie descriptive						
B. L'épidémiologie d'évaluation recherche les déterminants ou facteurs de risques influençant l'état de santé de la population	11. Concernant l'épidémiologie, quelles propositions sont vraies :	UE7T130111	FAUX	B. Faux, cette définition représente l'épidémiologie analytique ou étiologique						
C. La santé peut être caractérisée comme la capacité à s'adapter à un environnement qui change	11. Concernant l'épidémiologie, quelles propositions sont vraies :	UE7T130111	VRAI	C. Vrai						
D. Pour les soignants autres que les médecins, la santé est déterminée avec la présence de maladie	11. Concernant l'épidémiologie, quelles propositions sont vraies :	UE7T130111	FAUX	D. Faux, cette définition concerne les médecins						
E. Le bien être représente la santé selon la perception des personnes.	11. Concernant l'épidémiologie, quelles propositions sont vraies :	UE7T130111	VRAI	E. Vrai						
A. Aujourd'hui, la consommation de tabac est égale chez les hommes et les femmes	12. Concernant les addictions :	UE7T130112	FAUX	A. Faux, celle-­‐ci est encore plus élevée chez les hommes à ce jour même si la tendance à la parité de la consommation est de plus en plus forte						
B. L'impact nocif du tabac concerne 70 000 morts chaque année	12. Concernant les addictions :	UE7T130112	VRAI	B. Vrai						
C. La consommation de tabac augmente avec l'âge	12. Concernant les addictions :	UE7T130112	FAUX	C. Faux, elle diminue						
D. Le binge drinking représente l'absorption massive d'alcool en fin de semaine chez les jeunes qui recherchent l'état d'ivresse. (question sponsorisée par le Saxo)	12. Concernant les addictions :	UE7T130112	VRAI	D. Vrai malheureusement pour les professeurs du vendredi matin						
E. Les décès par surdose d'héroïne sont de plus en plus nombreux malgré le développement de produits de substitution.	12. Concernant les addictions :	UE7T130112	FAUX	E. Faux, les décès par overdose d'héroïne sont en nette diminution depuis quelques années						
A. Les médecines primitives ont en commun quatre principes : l'expérimentation, la religion, la magie et la spéculation	13. Parmi les propositions suivantes concernant les médecines primitives, indiquer la (les) proposition(s) vraie(s) :	UE7T130113	FAUX	A. Elles ont pour principe l'empirisme, et non l'expérimentation !						
B. La religion repose sur des forces immanentes à la nature	13. Parmi les propositions suivantes concernant les médecines primitives, indiquer la (les) proposition(s) vraie(s) :	UE7T130113	FAUX	B. La religion repose sur des forces transcendantes ; la magie, quant à elle, exploite des forces immanentes à la nature, présentes tout autour de nous						
C. On nomme paléomédecine la médecine des premières civilisations	13. Parmi les propositions suivantes concernant les médecines primitives, indiquer la (les) proposition(s) vraie(s) :	UE7T130113	FAUX	C. Les archéomédecines sont les médecines des premières civilisations						
D. La révolution néolithique a été notamment marquée par l'invention de l'élevage et la sédentarisation des populations	13. Parmi les propositions suivantes concernant les médecines primitives, indiquer la (les) proposition(s) vraie(s) :	UE7T130113	VRAI							
E. La révolution néolithique a contribué au déclin des maladies infectieuses.	13. Parmi les propositions suivantes concernant les médecines primitives, indiquer la (les) proposition(s) vraie(s) :	UE7T130113	FAUX	E. Au contraire, la concentration humaine et animale, et la stagnation des eaux, entre autres, ont conduit à un développement important des maladies infectieuses						
A. La première révolution médicale eut lieu vers ‐400 avec Galien	14. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130114	FAUX	A. En ‐400 oui, mais avec Hippocrate ! Il fut le personnage central de cette première révolution médicale						
B. Hippocrate est à l'origine d'une révolution conceptuelle : il estime notamment que la maladie est un phénomène naturel	14. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130114	VRAI							
C. La deuxième révolution médicale se déroula dans le contexte de la Renaissance, avec, entre autres, Vésale et Galilée	14. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130114	FAUX	C. Il s'agit de la première révolution biologique						
D. Vésale décrivit la circulation du cœur dans son ouvrage De Motu Cordis	14. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130114	FAUX	D. Il s'agit de William Harvey						
E. Le « miracle des années 1620 » s'inscrit dans la première révolution biologique.	14. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130114	VRAI							
A. Alexander Fleming isola la pénicilline en 1928	15. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130115	VRAI							
B. Depuis les années 1980, on est entré dans le paradigme de l'information	15. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130115	VRAI							
C. La variole est une maladie infectieuse qui demeure très répandue dans certains pays en voie de développement	15. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130115	FAUX	C. La variole a été éradiquée, elle n'est conservée que dans quelques laboratoires militaires						
D. La peste justinienne ravagea l'Europe au XIVème siècle	15. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130115	FAUX	D. Au XIVème siècle, c'est la peste noire qui ravagea l'Europe						
E. Les sanatoriums étaient des structures destinées à accueillir les lépreux.	15. Parmi les propositions suivantes concernant le progrès médical, indiquer la (les) proposition(s) vraie(s) :	UE7T130115	FAUX	E. Les sanatoriums, situés à la montagne (réputée pour son air pur), étaient destinés à soigner les tuberculeux						
A. Thomas Sydenham était un botaniste qui inspira Boissier de Sauvages pour sa grande classification des maladies	16. Parmi les propositions suivantes concernant la révolution anatomo clinique, indiquer la (les) proposition(s) vraie(s) :	UE7T130116	FAUX	A. Sydenham n'était pas un botaniste (contrairement à Carl von Linné, évoqué dans le cours)						
B. Bichat développa le recours à la trachéotomie	16. Parmi les propositions suivantes concernant la révolution anatomo clinique, indiquer la (les) proposition(s) vraie(s) :	UE7T130116	FAUX	B. Faux : c'est Armand Trousseau qui diffusa cette pratique, dans le cadre de la diphtérie						
C. Bichat décrivit de nombreuses membranes (= tissus)	16. Parmi les propositions suivantes concernant la révolution anatomo clinique, indiquer la (les) proposition(s) vraie(s) :	UE7T130116	VRAI							
D. René Laennec est à l'origine de l'auscultation immédiate	16. Parmi les propositions suivantes concernant la révolution anatomo clinique, indiquer la (les) proposition(s) vraie(s) :	UE7T130116	FAUX	D. Au contraire, il est à l'origine de l'auscultation médiate, qui consiste à interposer un accessoire entre le thorax du malade et l'oreille du médecin (stéthoscope)						
E. Le premier stéthoscope fut créé en 1816.	16. Parmi les propositions suivantes concernant la révolution anatomo clinique, indiquer la (les) proposition(s) vraie(s) :	UE7T130116	VRAI							
A. Armand Trousseau s'intéressa à la diphtérie	17. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130117	VRAI							
B. Rudolph Wirchow postula que toute cellule provient d'une cellule antérieure : « Omnis cellula e cellula »	17. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130117	VRAI							
C. La biochimie des petites molécules (urée, ATP...) fut découverte avant celle des grosses molécules	17. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130117	VRAI							
D. Georges Mendel étudia principalement la reproduction et la fécondation	17. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130117	FAUX	D. Georges Mendel est le père de la génétique : il étudia la transmission des caractères de génération en génération, et est à l'origine des lois de Mendel						
E. L'ADN fut découvert à la fin du XIXème siècle.	17. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130117	FAUX	E. L'ADN et sa double hélice furent découverts en 1953 par Watson et Crick						
A. Magendie fut le disciple de Claude Bernard et poursuivit ses travaux sur la physiologie	18. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130118	FAUX	A. C'est l'inverse !						
B. Les travaux de Claude Bernard concernèrent essentiellement la cellule et l'hérédité	18. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130118	FAUX	B. Faux						
C. Claude Bernard étudia la fonction glycogénique du foie	18. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130118	VRAI							
D. Charles Darwin publia en 1859 L'Origine des espèces	18. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130118	VRAI							
E. Charles Darwin défendit l'idée de la génération spontanée.	18. Parmi les propositions suivantes, indiquer la (les) proposition(s) vraie(s) :	UE7T130118	FAUX	E. Faux : Pouchet en revanche, biologiste rouennais, à l'occasion d'un important débat avec Pasteur, fut l'un des grands partisans de la génération spontanée						
A. La psychologie médicale est un fonctionnement psychique qui concerne les dentistes.	1) Parmi les propositions suivantes concernant la psychologie médicale, indiquer la (les) proposition(s) vrai(e)s :	UE7T120101	VRAI	A. Vrai. La psychologie médicale concerne tout soignant, aussi bien médecin, kiné, infirmier, dentiste, sage- femme						
B. Elle doit prendre en compte la personne dans sa totalité, psyché soma non intriqués.	1) Parmi les propositions suivantes concernant la psychologie médicale, indiquer la (les) proposition(s) vrai(e)s :	UE7T120101	FAUX	B. Faux, c'est la personne dans sa globalité → âme et corps → psyché soma intriqués						
C. La psychologie médicale s'intéresse à la personnalité, qui dérive du mot latin «persona» = la personne.	1) Parmi les propositions suivantes concernant la psychologie médicale, indiquer la (les) proposition(s) vrai(e)s :	UE7T120101	FAUX	C. Faux, la psychologie médicale s'intéresse bien à la personnalité, mais ce mot dérive du latin persona → le masque						
D. Le tempérament est plus fixe que la personnalité.	1) Parmi les propositions suivantes concernant la psychologie médicale, indiquer la (les) proposition(s) vrai(e)s :	UE7T120101	VRAI							
E. Les troubles de la personnalité peuvent apparaître au début de l'âge adulte, même si il n'y a eu aucun trouble à l'adolescence.	1) Parmi les propositions suivantes concernant la psychologie médicale, indiquer la (les) proposition(s) vrai(e)s :	UE7T120101	VRAI	E. Vrai, les troubles de la personnalité peuvent apparaître à l'adolescence ou au début de l'âge adulte						
A. La psychologie humaine est l'étude des conduites/comportements, et des états de conscience de l'homme.	2) Parmi les propositions suivantes concernant la psychologie humaine, indiquer la (les) proposition(s) vrai(e)s :	UE7T120102	VRAI	A. Vrai, cf. définition de la psychologie humaine						
B. La mémoire n'a aucune place dans psychologie humaine.	2) Parmi les propositions suivantes concernant la psychologie humaine, indiquer la (les) proposition(s) vrai(e)s :	UE7T120102	FAUX							
C. La psychologie humaine recouvre et traite des situations où le médecin peut être impliqué.	2) Parmi les propositions suivantes concernant la psychologie humaine, indiquer la (les) proposition(s) vrai(e)s :	UE7T120102	FAUX	C. La psychologie humaine recouvre et traite des situations où le médecin peut être impliqué						
D. De nos jours la relation médecin-malade a tendance à être déshumanisée par l'hyper spécificité et l'hyper technicité.	2) Parmi les propositions suivantes concernant la psychologie humaine, indiquer la (les) proposition(s) vrai(e)s :	UE7T120102	VRAI							
E. Hippocrate dit que l'on ne soigne que des maladies.	2) Parmi les propositions suivantes concernant la psychologie humaine, indiquer la (les) proposition(s) vrai(e)s :	UE7T120102	FAUX	E. Faux, traité d'Hippocrate : ON NE SOIGNE QUE DES MALADES						
A. Elle se construit grâce aux interactions avec l'entourage.	3) Parmi les propositions suivantes concernant la personnalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120103	VRAI	A. Vrai, les interactions construisent la personnalité						
B. C'est une organisation dynamique des aspects intellectuels, affectifs, comportementaux, physiologiques, morphologiques de l'individu, et qui se construit dès la vie intra utérine.	3) Parmi les propositions suivantes concernant la personnalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120103	VRAI							
C. Selon le DSM IV (Manuel diagnostique et statistique des troubles mentaux), le borderline est caractérisé par une impulsivité, une instabilité des relations interpersonnelles ainsi qu'une surestimation de l'image de soi et des affects.	3) Parmi les propositions suivantes concernant la personnalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120103	FAUX	C. Faux, ici il y a une erreur dans la définition du bordeline, c'est une infériorité de l'image de soi						
D. Etre schizoïde, c'est avoir des gênes dans les relations proches avec des distorsions cognitives et perceptuelles. Avec une tendance excentrique.	3) Parmi les propositions suivantes concernant la personnalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120103	FAUX	D. Faux, c'est la définition du schizotypique<br>Schizoïde : détachement des relations sociales et restriction des expressions						
E. Le trouble obsessionnel compulsif, aussi appelé TOC, est irréversible.	3) Parmi les propositions suivantes concernant la personnalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120103	FAUX	E. Faux, car le TOC peut être traité par une cure psychanalytique, par psychothérapie cognitivo- comportementale, ou par anti-dépresseurs type ISRS (inhibiteur sélectif de la recapture de la sérotonine)						
A. La normalité ne peut se définir qu'en référence à un système donné.	4) Parmi les propositions suivantes concernant la normalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120104	VRAI							
B. Le soignant peut avoir une propre représentation de la norme, différente de celle du soigné.	4) Parmi les propositions suivantes concernant la normalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120104	VRAI							
C. La définition axiologique de la normalité renvoie à un idéal faisant référence à certaines valeurs extrinsèques de l'individu. Elle est plus pertinente thérapeutiquement que les autres définitions de la norme.	4) Parmi les propositions suivantes concernant la normalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120104	FAUX	C. Faux, La définition axiologique de la normalité renvoie à un idéal faisant référence à certaines valeurs intrinsèques de l'individu. La définition axiologique est cependant plus pertinente thérapeutiquement						
D. La normalité peut être utilisée à des fins politiques.	4) Parmi les propositions suivantes concernant la normalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120104	VRAI	D. Vrai, exemple de la dictature						
E. En cas de maladie lourde, il ne faut surtout pas reconstruire de nouvelles normes.	4) Parmi les propositions suivantes concernant la normalité, indiquer la (les) proposition(s) vrai(e)s :	UE7T120104	FAUX	E. Faux, c'est le contraire → créer de nouvelles normes face à une maladie chronique. Outre le choc de l'annonce, il faut accepter les contraintes et se READAPTER (ex→ Adolescent- Diabète)						
A. Le bien être prend une place croissante dans notre société, qui devient plus importante que la santé.	5) Parmi les propositions suivantes concernant la santé, indiquer la (les) proposition(s) vrai(e)s :	UE7T120105	VRAI							
B. Il y a une diminution des demandes de soins en France.	5) Parmi les propositions suivantes concernant la santé, indiquer la (les) proposition(s) vrai(e)s :	UE7T120105	FAUX	B. Faux, c'est le contraire !						
C. La 1 ère prescription médicamenteuse en France est celle des antalgiques.	5) Parmi les propositions suivantes concernant la santé, indiquer la (les) proposition(s) vrai(e)s :	UE7T120105	VRAI							
D. La prescription de psychotropes et de ses apparentés, devient excessive en France.	5) Parmi les propositions suivantes concernant la santé, indiquer la (les) proposition(s) vrai(e)s :	UE7T120105	VRAI							
E. Les plaintes fonctionnelles sont très fréquentes, ce sont des patients qui n'ont pas de pathologies caractérisées mais plutôt des plaintes révélant un malaise dont l'expression se fait par le corps.	5) Parmi les propositions suivantes concernant la santé, indiquer la (les) proposition(s) vrai(e)s :	UE7T120105	VRAI							
A. Devant toutes plaintes fonctionnelles, il est inutile de prescrire un traitement car le patient n'est pas vraiment malade. Le problème vient de sa tête.	6) Parmi les propositions suivantes concernant les plaintes, indiquer le (les) proposition(s) vrai(e)s :	UE7T120106	FAUX	A. Faux. Même si le patient ne présente aucune lésion/pathologie propre, le patient SOUFFRE !! La prise en charge des plaintes fonctionnelles doit être adaptée : Si contexte de maux de ventre → avec maladie organique type Crohn → alors traitement possible Mais si aucune maladie somatique, mais plutôt une angoisse-anxiété vis-à-vis d'une possibilité de grossesse/ IST → aucun TRAITEMENT ! OU SEULEMENT LA CONTRACEPTION ORALE ... ici réassurance +++++						
B. Le diagnostic de plaintes fonctionnelles n'est pas un diagnostic en soi.	6) Parmi les propositions suivantes concernant les plaintes, indiquer le (les) proposition(s) vrai(e)s :	UE7T120106	FAUX	B. Faux, le diagnostic de plaintes fonctionnelles est un DIAGNOSTIC EN SOI !						
C. Une pathologie psychiatrique peut être révélée par une plainte fonctionnelle.	6) Parmi les propositions suivantes concernant les plaintes, indiquer le (les) proposition(s) vrai(e)s :	UE7T120106	VRAI	C. Vrai, une plainte fonctionnelle peut révéler une dépression ou un trouble du comportement alimentaire (anorexie) qui sont bien des pathologies psychiatriques						
D. Une situation de divorce parental, ou de découverte de tumeur chez l'un des deux parents, ne peut être à l'origine de plaintes fonctionnelles.	6) Parmi les propositions suivantes concernant les plaintes, indiquer le (les) proposition(s) vrai(e)s :	UE7T120106	FAUX	D. Faux, au contraire !						
E. En médecine générale, un patient sur deux présente une plainte fonctionnelle.	6) Parmi les propositions suivantes concernant les plaintes, indiquer le (les) proposition(s) vrai(e)s :	UE7T120106	VRAI							
A. L'implication du médecin pour son patient, n'a aucun rôle dans la compliance au traitement.	7) Parmi les propositions suivantes concernant la maladie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120107	FAUX	A. Faux, l'implication du médecin pour son patient est TRES IMPORTANTE						
B. Il existe une loi qui exige du médecin de tenir son patient informé de son état de santé, des risques de sa maladie...	7) Parmi les propositions suivantes concernant la maladie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120107	VRAI	B. Vrai, LOI DE 2002 de la “sous” et sur” information						
C. L'angoisse ne peut être partagée entre différents protagonistes.	7) Parmi les propositions suivantes concernant la maladie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120107	FAUX							
D. L'anorexie est un TCA (Trouble du comportement alimentaire).	7) Parmi les propositions suivantes concernant la maladie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120107	VRAI							
E. Le médecin n'a pas besoin de la confiance du patient pour le soigner.	7) Parmi les propositions suivantes concernant la maladie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120107	FAUX	E. Faux, confiance très important, voire indispensable !!						
A. L'anorexie est un trouble psychologique, qui ne relève pas d'une prise en charge psychiatrique.	8) Parmi les propositions suivantes concernant la psychiatrie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120108	FAUX	A. Faux, anorexie = psychiatrie						
B. Dans une pathologie psychiatrique, le bilan somatique est toujours normal.	8) Parmi les propositions suivantes concernant la psychiatrie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120108	FAUX	B. Faux						
C. La psychiatrie s'applique à tous les patients.	8) Parmi les propositions suivantes concernant la psychiatrie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120108	FAUX	C. Faux, psychiatrie qui ne touche qu'une partie des patients !						
