A. Lors de la période réfractaire absolue, un nouveau potentiel d'action peut se produire.	1. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141001	FAUX	A. Faux, PRA = impossible d'obtenir un nouveau potentiel d'action.						
C. Lors de la phase 2, le principal courant sortant positif est le courant sodique retardé.	3. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141003	FAUX	C. Faux, c'est le courant potassique, dit retardé car il s'active très lentement.						
D. Lors de la phase 3, la cellule va subir une repolarisation finale, principalement grâce au courant I K1 .	3. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141003	VRAI							
E. Lors de la phase 4, la cellule est essentiellement perméable aux ions sodium.	3. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141003	FAUX	E. Faux, elle est surtout perméable aux ions potassium.						
A. Le concept fondamental de la théorie de Maxwell englobe les champs magnétique et électrique.	4. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141004	VRAI							
B. La solution de l'équation de Maxwell est une équation de probabilité de présence du photon.	4. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141004	VRAI							
C. La charge du photon est de 1,6.10<sup>-9</sup> .	4. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141004	FAUX	C. Faux, le photon n'a pas de masse.						
D. Le photon se déplace à la vitesse de la lumière dans le vide.	4. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141004	VRAI							
E. L'induction de Lorentz traite d'un champ magnétique constant dans lequel on déplace le conducteur électrique.	4. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141004	VRAI							
A. Un matériau ferromagnétique ne peut pas avoir les propriétés d'un fluide.	5. Concernant le ferromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141005	FAUX	A. Faux, c'est parfaitement possible et l'on parle alors de ferrofluides.						
B. Un matériau ferromagnétique se divise en domaines, dits domaines de Weiss.	5. Concernant le ferromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141005	VRAI							
C. Les différents domaines d'un matérieu ferromagnétique sont séparés par des parois, dites de Bloch.	5. Concernant le ferromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141005	VRAI							
D. La susceptibilité d'un matérieu ferromagnétique diminue à l'approche de la température de Curie.	5. Concernant le ferromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141005	FAUX	D. Faux, la susceptibilité d'un matérieu ferromagnétique augmente à l'approche de la température de Curie.						
E. Au-delà de la température de Curie, un matériau ferromagnétique peut devenir paramagnétique.	5. Concernant le ferromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T141005	VRAI							
A. L'hystérésis correspond à un retard à la désaimantation.	6. Concernant le phénomène d'hystérésis, indiquez la ou les proposition(s) exacte(s) :	UE3T141006	VRAI	A. Vrai, ce phénomène met en évidence la persistance du magnétisme après l'arrêt du champ magnétique.						
B. L'énergie absorbée durant l'aimantation ne sera que partiellement restituée lors de la désaimantation.	6. Concernant le phénomène d'hystérésis, indiquez la ou les proposition(s) exacte(s) :	UE3T141006	VRAI	B. Vrai, l'énergie est partiellement restituée au milieu, le reste se perd sous forme de chaleur.						
C. Les pertes d'énergie par hystérésis sont proportionnelles à l'aire du cycle d'hystérésis.	6. Concernant le phénomène d'hystérésis, indiquez la ou les proposition(s) exacte(s) :	UE3T141006	VRAI							
D. Ce phénomène permet d'expliquer l'existence d'aimants permanents.	6. Concernant le phénomène d'hystérésis, indiquez la ou les proposition(s) exacte(s) :	UE3T141006	VRAI							
E. Si l'aire du cycle est petite, le matériau est magnétiquement dur.	6. Concernant le phénomène d'hystérésis, indiquez la ou les proposition(s) exacte(s) :	UE3T141006	FAUX	E. Faux, c'est un matériau magnétique doux.						
A. Le flux net est un phénomène passif permettant la diffusion de molécules selon le sens de leur gradient de concentration.	15. Concernant les transports à travers la membrane cellulaire, indiquez la ou les proposition(s) exacte(s) :	UE3T141015	VRAI							
B. Le flux net dépend du gradient de concentration et des forces électriques uniquement.	15. Concernant les transports à travers la membrane cellulaire, indiquez la ou les proposition(s) exacte(s) :	UE3T141015	FAUX	B. Faux, il dépend également de la perméabilité membranaire.						
C. La loi de Fick permet de quantifier le flux de diffusion à travers la membrane cellulaire.	15. Concernant les transports à travers la membrane cellulaire, indiquez la ou les proposition(s) exacte(s) :	UE3T141015	VRAI	C. Vrai, cette loi donne le débit de diffusion d'un soluté.						
D. La perméabilité membranaire dépend en partie de l'épaisseur de la membrane et de sa surface.	15. Concernant les transports à travers la membrane cellulaire, indiquez la ou les proposition(s) exacte(s) :	UE3T141015	VRAI							
E. La perméabilité cellulaire est invariante.	15. Concernant les transports à travers la membrane cellulaire, indiquez la ou les proposition(s) exacte(s) :	UE3T141015	FAUX	E. Faux, de nombreux facteurs peuvent faire varier la perméabilité à un soluté : ouverture de canaux ioniques, température ambiante, taille des solutés, charges des solutés...						
A. La diffusion facilitée met en jeu un transporteur spécifique d'un soluté.	16. Concernant les différents types de transport de solutés, indiquez la ou les proposition(s) exacte(s) :	UE3T141016	VRAI							
B. Un transport actif nécessite de l'ATP et transporte le soluté dans le sens de son gradient de concentration.	16. Concernant les différents types de transport de solutés, indiquez la ou les proposition(s) exacte(s) :	UE3T141016	FAUX	B. Faux, un transport actif consomme de l'ATP et transporte les solutés contre leur gradient de concentration (du moins concentré au plus concentré).						
C. Un transport actif secondaire peut être un co-transport ou un contre-transport.	16. Concernant les différents types de transport de solutés, indiquez la ou les proposition(s) exacte(s) :	UE3T141016	VRAI							
D. Un co-transport transporte deux solutés dans le même sens, contre leur gradient de concentration.	16. Concernant les différents types de transport de solutés, indiquez la ou les proposition(s) exacte(s) :	UE3T141016	FAUX	D. Faux, un co-transport transporte deux solutés dans le même sens : le premier contre son gradient de concentration et consommant de l'énergie et le deuxième dans le sens de son gradient de concentration.						
E. Un contre-transport transporte deux molécules de façon opposée.	16. Concernant les différents types de transport de solutés, indiquez la ou les proposition(s) exacte(s) :	UE3T141016	VRAI							
A. L'osmolarité est la concentration de particules de solutés dissoutes dans un litre d'eau exerçant un pouvoir osmotique réel par rapport aux molécules d'eau.	17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :	UE3T141017	VRAI	A. Vrai, autrement dit, les solutés ont un pouvoir attractif sur l'eau.						
B. L'osmolarité doit être constante entre les différents compartiments liquidiens.	17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :	UE3T141017	VRAI							
C. L'osmolarité est de 290 Osm/kg d'eau.	17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :	UE3T141017	FAUX	C. Faux, attention aux unités ! C'est 290 mOsm/kg d'eau.						
D. Lors d'un déficit en eau, l'osmolarité extracellulaire augmente, provoquant un flux d'eau du milieu extracellulaire au milieu intracellulaire.	17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :	UE3T141017	FAUX	D. Faux, s'il manque de l'eau dans le secteur extracellulaire, on est en hyper-osmolarité extracellulaire donc l'eau va de la cellule vers l'extérieur de la cellule pour équilibrer les osmolarités.						
E. Lors d'un excès en eau, la cellule peut finir intoxiquée à l'eau.	17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :	UE3T141017	VRAI	E. Vrai, excès d'eau donc hypo-osmolarité extracellulaire, l'eau va de l'extracellulaire à l'intracellulaire et risque d'intoxiquer la cellule.						
A. Le potentiel de repos est compris entre -55 et -100 V.	18. Concernant le potentiel de membrane, indiquez la ou les proposition(s) exacte(s) :	UE3T141018	FAUX	A. Faux, le potentiel de repos est de -55 à -100 mV.						
B. Le potentiel d'équilibre de la cellule est principalement conditionné par le potentiel d'équilibre du potassium et la pompe Na+ /K+ .	18. Concernant le potentiel de membrane, indiquez la ou les proposition(s) exacte(s) :	UE3T141018	VRAI	B. Vrai, le Pe de la cellule est causé par la diffusion des ions à travers le membrane cellulaire. La membrane du neurone est principalement perméable aux ions K+ : le potassium va donc suivre son gradient de concentration (diffusion passive du milieu le plus concentré au milieu le moins concentré en K+ : donc le potassium sort de la cellule !). Cette fuite de K+ hors de la cellule va créer un gradient électrique qui s'oppose au gradient de concentration (diffusion active du milieu le moins concentré au milieu le plus concentré). Ce gradient électrique est assuré par la pompe Na+ /K+ qui permet de réabsorber le K+ à l'intérieur de la cellule tout en expulsant le Na+ hors de la cellule. A noter que la membrane du neurone est également perméable aux ions Na+ et Cl- mais de façon beaucoup moins importante que le K+ et n'influençant quasiment pas sur le Pe de la cellule.						
C. La pompe Na+ /K+ possède un rôle dans le gradient électrique et permet la sortie de 2Na+ et l'entrée de 3K+ .	18. Concernant le potentiel de membrane, indiquez la ou les proposition(s) exacte(s) :	UE3T141018	FAUX	C. Faux, cette pompe possède bien un rôle dans le gradient électrique mais fait rentrer 2K+ et sortir 3Na+ . C'est logique car cette pompe permet de maintenir un Pe négatif dans la cellule donc doit faire sortir plus d'ions positifs pour assurer un bilan négatif !						
D. La pompe Na+ /K+ est un transport actif primaire.	18. Concernant le potentiel de membrane, indiquez la ou les proposition(s) exacte(s) :	UE3T141018	VRAI							
E. La pompe Na+ /K+ consomme de l'énergie sous forme d'ATP.	18. Concernant le potentiel de membrane, indiquez la ou les proposition(s) exacte(s) :	UE3T141018	VRAI							
A. Le neurone possède deux types de transport : antérograde et rétrograde.	19. Concernant le fonctionnement neuronal, indiquez la ou les proposition(s) exacte(s) :	UE3T141019	VRAI							
B. Le transport rétrograde permet de ramener rapidement les déchets recapturés par le neurone vers le corps cellulaire.	19. Concernant le fonctionnement neuronal, indiquez la ou les proposition(s) exacte(s) :	UE3T141019	FAUX	B. Faux, le transport rétrograde est lent.						
C. Le transport rétrograde permet le recyclage de ces déchets.	19. Concernant le fonctionnement neuronal, indiquez la ou les proposition(s) exacte(s) :	UE3T141019	VRAI	C. Vrai, cela concerne par exemple la choline qui est réabsorbée au niveau de la synapse puis transportée vers le corps cellulaire où elle sera combinée à l'acétyl-CoA pour former de l'Ach.						
D. Le transport antérograde ne permet d'acheminer vers la terminaison axonale que des neurotransmetteurs.	19. Concernant le fonctionnement neuronal, indiquez la ou les proposition(s) exacte(s) :	UE3T141019	FAUX	D. Faux, le transport antérograde permet d'acheminer vers la synapse des vésicules de neurotransmetteurs ET des vésicules de précurseurs (qui se transformeront en neurotransmetteurs une fois seulement être arrivés à la synapse).						
E. Le transport antérograde est plus lent que le transport rétrograde.	19. Concernant le fonctionnement neuronal, indiquez la ou les proposition(s) exacte(s) :	UE3T141019	FAUX	E. Faux, la transport antérograde est rapide tandis que le transport rétrograde est lent.						
