A. Le principe actif confère au médicament ses propriétés thérapeutiques .	14. Indiquez la (les) proposition(s) exacte(s) concernant le médicament :	UEPT140214	VRAI	A. Le principe actif est la substance qui permettra de prévenir ou guérir un état pathologique.						
B. « DCI » = Identical Chemistry Denomination	17. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités :	UEPT140217	FAUX	B. Dénomination Commune Internationale						
C. La Pharmacopée Française n'est plus mise à jour depuis 1880, remplacée par d'autres ouvrages.	17. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités :	UEPT140217	FAUX	C. La Pharmacopée Française existe toujours et elle est régulièrement mise à jour						
D. En France, sont appliquées les normes des 2 Pharmacopées : Française et Européenne	17. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités :	UEPT140217	VRAI							
E. Les normes de la Pharmacopée Européenne s'appliquent aux USA.	17. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités :	UEPT140217	FAUX	E. Faux, il existe une Pharmacopée Américaine USP (ainsi qu'une Pharmacopée Japonaise, ce sont les 3 référentiels).						
A. La biodisponibilité est caractérisé par la quantité de PA qui après administration atteint la circulation générale et par la vitesse de passage à laquelle elle l'atteint	18. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités et la voie orale :	UEPT140218	VRAI							
B. Action locale : le PA agit sur l'environnement immédiat de son lieu d'application	18. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités et la voie orale :	UEPT140218	VRAI							
C. Action systémique : le PA passe dans la circulation générale et agit sur l'ensemble de l'organisme	18. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités et la voie orale :	UEPT140218	VRAI							
D. Les PA non absorbés par les muqueuses gastrique ou intestinale vont avoir une action systémique.	18. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités et la voie orale :	UEPT140218	FAUX	D. Non, une action locale, ils ne passent pas dans le sang (ex : action au niveau de l'estomac des pansements gastriques).						
E. Les comprimés effervescents ont une action accélérée.	18. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités et la voie orale :	UEPT140218	VRAI	E. oui, car avec l'administration d'un médicament sous une forme liquide, on n'a pas les étapes de libération et de dissolution du PA à partir de la forme (alors que pour un comprimé classique, ces étapes sont préalables à une absorption du PA)						
A. On cherche à limiter les formes liquides avec les enfants pour éviter les fausses routes.	19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :	UEPT140219	FAUX	A. Faux, au contraire, une forme liquide est plus facile à administrer à un enfant qu'une forme solide.						
B. La voie orale ne permet aucune évacuation en cas d'intoxication ou de surdosage car l'absorption est très rapide.	19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :	UEPT140219	FAUX	B. Faux, au contraire d'autres voies d'administration (ex : voies parentérale, pulmonaire.....)						
C. La voie orale permet de contourner l'effet de premier passage hépatique.	19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :	UEPT140219	FAUX	C. Faux, au contraire c'est la voie intraveineuse qui contourne cet effet. Alors qu'avec la voie orale on a une dégradation du PA avant même que celui-ci n'atteigne la circulation générale.						
D. La voie orale permet une précision de dosage.	19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :	UEPT140219	VRAI							
E. La voie orale est utilisable lorsque le patient est inconscient.	19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :	UEPT140219	FAUX	E. Faux ! Cela va être difficile de faire avaler un médicament à un patient inconscient.						
A. Selon la Pharmacopée, un comprimé se définit comme « une préparation solide contenant une unité de prise d'un ou plusieurs PA »	20. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140220	VRAI							
B. Dans une machine à comprimer, une matrice est la chambre de compression.	20. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140220	VRAI							
C. C'est la matrice qu'il faut régler pour ajuster la dureté du comprimé.	20. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140220	FAUX	C. Non, c'est le réglage de la course du poinçon supérieur qui ajuste la dureté du comprimé.						
D. Le réglage du poinçon supérieur permet de déterminer le volume de poudre qui va être compressé.	20. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140220	FAUX	D. Non, c'est la position du poinçon inférieur au sein de la matrice qui détermine le volume de poudre qui va être compressé donc qui permet de régler la masse du comprimé.						
E. Une machine à comprimer alternative a un rythme de fabrication plus élevé que la machine à comprimer rotative.	20. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140220	FAUX	E. Et non c'est l'inverse car une machine rotative est équipée de plusieurs matrices alors qu'une machine alternative n'a qu'une matrice. Pour rappel : La machine à comprimer alternative : une seule matrice fixe, un jeu de poinçons mobiles (un supérieur et un inférieur) avec et un sabot distributeur de poudre mobile. La machine à comprimer rotative : plusieurs matrices, chacune étant associée à un jeu de poinçons (1 supérieur et 1 inférieur). L'ensemble matrices-poinçons tourne autour d'un axe vertical. Une trémie d'alimentation est fixe. Le rythme de production est donc supérieur.						
A. Les excipients diluants permettent une meilleure fluidité de la poudre à comprimer.	21. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140221	FAUX	A. Les diluants ou agent de charge ont un rôle de remplissage quand les dose de PA unitaire est faible, par exemple avec du lactose ou de l'amidon. Imaginez pour les PA dosés à quelques microgrammes, comment avec aussi peu de masse pourrait-on faire un comprimé administrable ? C'est le rôle du diluant ou appelé aussi agent de charge.						
B. Les liants ou agglutinants ont pour rôle de lier les particules entres elles pour obtenir une cohésion suffisante et permettre la compression.	21. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140221	VRAI							
C. Les excipients lubrifiants permettent entre autres de donner un aspect brillant aux comprimés.	21. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140221	VRAI							
D. Les excipients délitants permettent d'obtenir une meilleure granulométrie de la poudre à comprimer.	21. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140221	FAUX	D. Les excipients désagrégeant ou délitants ont pour rôle d'accélérer la désagrégation du comprimé en milieu liquide et d'améliorer ainsi la dissolution du PA après administration.						
E. Des excipients « antifriction » sont utilisés pour augmenter les frictions entre les particules de poudre et favoriser ainsi la transmission de la force de compression.	21. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140221	FAUX	E. Si on utilise des « agents antifriction » c'est donc pour une REDUCTION des frictions entre les particules car cela permet une meilleure transmission de la force de compression dans la masse du grain, la réponse était dans l'item, attention ! ;)						
A. Il existe deux voies différentes pour l'étape de granulation.	22. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140222	VRAI	ABCDE. La granulation transforme une poudre en grains ou granulés et se fait par voies sèche ou humide. <br>La granulation par voie sèche : Compression du mélange de poudres (PA+ excipients liants secs + diluants). Obtention de gros comprimés ou « briquettes » qui seront broyés, calibrés et tamisés pour l'obtention de grains avec une granulation homogène. Dans une dernière étape, des excipients lubrifiants et délitants sont ajoutés aux grains avant de réaliser la compression. <br><br>La granulation par voie humide : Mélange (PA + diluants) dans un mélangeur puis ajout d'une solution à base d'un excipient liant. La masse de poudre humidifiée subit différentes opérations : une granulation à l'aide d'un granulateur (oscillant ou rotatif), une étape de séchage, calibration et tamisage des grains, Avant compression, des excipients lubrifiants et délitants sont ajoutés si nécessaire.						
B. La granulation par voie humide permet d'obtenir des « briquettes » après mouillage.	22. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140222	FAUX	ABCDE. La granulation transforme une poudre en grains ou granulés et se fait par voies sèche ou humide. La granulation par voie sèche : Compression du mélange de poudres (PA+ excipients liants secs + diluants). Obtention de gros comprimés ou « briquettes » qui seront broyés, calibrés et tamisés pour l'obtention de grains avec une granulation homogène. Dans une dernière étape, des excipients lubrifiants et délitants sont ajoutés aux grains avant de réaliser la compression. La granulation par voie humide : Mélange (PA + diluants) dans un mélangeur puis ajout d'une solution à base d'un excipient liant. La masse de poudre humidifiée subit différentes opérations : une granulation à l'aide d'un granulateur (oscillant ou rotatif), une étape de séchage, calibration et tamisage des grains, Avant compression, des excipients lubrifiants et délitants sont ajoutés si nécessaire.						
C. La granulation par voie sèche commence par le mélange du PA avec les excipients liants secs et diluants.	22. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140222	VRAI	ABCDE. La granulation transforme une poudre en grains ou granulés et se fait par voies sèche ou humide. La granulation par voie sèche : Compression du mélange de poudres (PA+ excipients liants secs + diluants). Obtention de gros comprimés ou « briquettes » qui seront broyés, calibrés et tamisés pour l'obtention de grains avec une granulation homogène. Dans une dernière étape, des excipients lubrifiants et délitants sont ajoutés aux grains avant de réaliser la compression. La granulation par voie humide : Mélange (PA + diluants) dans un mélangeur puis ajout d'une solution à base d'un excipient liant. La masse de poudre humidifiée subit différentes opérations : une granulation à l'aide d'un granulateur (oscillant ou rotatif), une étape de séchage, calibration et tamisage des grains, Avant compression, des excipients lubrifiants et délitants sont ajoutés si nécessaire.						
D. Les briquettes obtenues par granulation sont directement compressées.	22. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140222	FAUX	ABCDE. La granulation transforme une poudre en grains ou granulés et se fait par voies sèche ou humide. La granulation par voie sèche : Compression du mélange de poudres (PA+ excipients liants secs + diluants). Obtention de gros comprimés ou « briquettes » qui seront broyés, calibrés et tamisés pour l'obtention de grains avec une granulation homogène. Dans une dernière étape, des excipients lubrifiants et délitants sont ajoutés aux grains avant de réaliser la compression. La granulation par voie humide : Mélange (PA + diluants) dans un mélangeur puis ajout d'une solution à base d'un excipient liant. La masse de poudre humidifiée subit différentes opérations : une granulation à l'aide d'un granulateur (oscillant ou rotatif), une étape de séchage, calibration et tamisage des grains, Avant compression, des excipients lubrifiants et délitants sont ajoutés si nécessaire.						
E. La granulation transforme des granulés ou des grains en poudre homogène afin qu'elle soit compressée.	22. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140222	FAUX	ABCDE. La granulation transforme une poudre en grains ou granulés et se fait par voies sèche ou humide. La granulation par voie sèche : Compression du mélange de poudres (PA+ excipients liants secs + diluants). Obtention de gros comprimés ou « briquettes » qui seront broyés, calibrés et tamisés pour l'obtention de grains avec une granulation homogène. Dans une dernière étape, des excipients lubrifiants et délitants sont ajoutés aux grains avant de réaliser la compression. La granulation par voie humide : Mélange (PA + diluants) dans un mélangeur puis ajout d'une solution à base d'un excipient liant. La masse de poudre humidifiée subit différentes opérations : une granulation à l'aide d'un granulateur (oscillant ou rotatif), une étape de séchage, calibration et tamisage des grains, Avant compression, des excipients lubrifiants et délitants sont ajoutés si nécessaire.						
A. Les étapes de fabrications d'un comprimé enrobé sont dans l'ordre : Pesée, Mélange, Granulation, Compression, Enrobage, Contrôles.	23. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication et le contrôle des comprimés :	UEPT140223	VRAI							
B. Le test de friabilité permet de quantifier la dureté du comprimé.	23. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication et le contrôle des comprimés :	UEPT140223	FAUX	B et C. Les tests sur les comprimés : <br>Le dosage de la teneur en PA <br>La vitesse de dissolution du PA (étude du % de libération du PA à partir de la forme galénique en fonction du temps.) <br>Le temps de désagrégation complète (temps de délitement à 37°C) <br>L'uniformité de masse. <br><br>Le test de friabilité : comprimés placés dans un appareil (tambour rotatif) qui leur fait subir des frottements et des chutes pendant un temps déterminé avec expression de la perte de masse en % (masse des comprimés avant et après le test) <br><br>Le test de résistance à la rupture par écrasement ( = contrôle de la dureté du comprimé) <br>Application des normes de la Pharmacopée Européenne (essais et contrôles des comprimés) pour conclure à la conformité des lots de fabrication de comprimés.						
C. Le test de résistance à la rupture par écrasement place le comprimé dans un appareil qui leur fait subir des frottements et des chutes pendant un temps déterminé.	23. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication et le contrôle des comprimés :	UEPT140223	FAUX	B et C. Les tests sur les comprimés : <br>Le dosage de la teneur en PA <br>La vitesse de dissolution du PA (étude du % de libération du PA à partir de la forme galénique en fonction du temps.) <br>Le temps de désagrégation complète (temps de délitement à 37°C) <br>L'uniformité de masse. <br>Le test de friabilité : comprimés placés dans un appareil (tambour rotatif) qui leur fait subir des frottements et des chutes pendant un temps déterminé avec expression de la perte de masse en % (masse des comprimés avant et après le test) <br><br>Le test de résistance à la rupture par écrasement ( = contrôle de la dureté du comprimé) <br><br>Application des normes de la Pharmacopée Européenne (essais et contrôles des comprimés) pour conclure à la conformité des lots de fabrication de comprimés.						
D. On effectue un dosage de la teneur en PA pour chaque comprimé qui sort de la chaine de production.	23. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication et le contrôle des comprimés :	UEPT140223	FAUX	D. Si on les tests tous, il n'y aura plus rien à vendre ! (contrôles sur quelques lots prélevés au hasard au cours de la fabrication)						
E. On étudie le pourcentage de libération du PA à partir de la forme galénique en fonction du temps.	23. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication et le contrôle des comprimés :	UEPT140223	VRAI							
A. Le pelliculage consiste en un enrobage au sucre.	24. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140224	FAUX	A. Faux : c'est la dragéification qui consiste en un enrobage au sucre alors que le pelliculage consiste à recouvrir la surface d'un comprimé par une couche de polymères.						
B. Les comprimés peuvent être fabriqués à partir de granules pelliculées.	24. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140224	VRAI							
C. Pour modifier la libération du PA d'un comprimé, il n'est pas nécessaire de réaliser un pelliculage.	24. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140224	VRAI	C. Vrai : Il existe des comprimés à libération modifiée non enrobés comme les comprimés matriciels pour une libération ralentie, ou comme les comprimés effervescents pour une libération accélérée.						
D. L'effervescence est obtenue par un pelliculage du comprimé.	24. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140224	FAUX	D. Les comprimés effervescents sont non enrobés. Leur formulation renferme des substances acides (type acide citrique, acide tartrique) et des bases (carbonates, bicarbonates de sodium) qui réagissent entre elles en présence d'eau en libérant un gaz (CO2) d'où la nécessité de les dissoudre dans de l'eau avant administration.						
E. Les comprimés solubles sont des comprimés à sucer car ils se dissolvent dans la salive.	24. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140224	FAUX	E. Les comprimés solubles sont non enrobés ou pelliculés et sont destinés à être dissous dans de l'eau avant administration. Ce sont les lyocs, les comprimés sublinguaux ou les comprimés orodispersibles qui sont destinés à être gardés dans la bouche jusqu'à dissolution complète.						
A. Les comprimés muccoadhésifs ont la particularité d'adhérer aux seules muqueuses digestives afin d'avoir une action prolongée.	25. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140225	FAUX	A. Adhésion à la muqueuse buccale également pour une action locale au niveau de la cavité buccale.						
B. La fabrication des comprimés est très onéreuse.	25. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140225	FAUX	B. Faux, c'est une forme moins coûteuse au niveau fabrication industrielle (près de 80% des médicaments se présentent sous forme de comprimés)						
C. Il est possible de fabriquer des comprimés à couches multiples par des compressions successives.	25. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140225	VRAI							
D. Les comprimés permettent l'administration de substances actives peu ou pas solubles dans l'eau.	25. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140225	VRAI							
E. Les comprimés sublinguaux ont une action systémique.	25. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprimés :	UEPT140225	VRAI							
