C. Le génotype est l'état d'un caractère observable chez un être vivant	25. Concernant le séquençage des génomes:	UE7S110325	FAUX	C.c'est le phénotype qui permet cela)						segmo
B. Dans une étude chez des sujets sains volontaires (étudiants en médecine), l'administration d'un placebo (5cg de glucose) montrait environ 33% d'efficacité dont 13% positive et 20% négative	34. Concernant le placebo (4) :	UE7S110334	FAUX	"<span style=""font-family: Arial"">études chez des volontaires sains (ex Delay 334 étudiants en médecine, 5 cg glucose)&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">≈ 33&nbsp;% efficacité&nbsp;: positive 20&nbsp;% et négative 13&nbsp;% (nocebo)&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">études chez les malades (hospitalisés ou non) ≈ 30&nbsp;% efficacité en moyenne (Haas 1959)</span>"						segmo
C. Dans les céphalées migraineuses le placébo à une efficacité de 32%	34. Concernant le placebo (4) :	UE7S110334	VRAI							segmo
D. Un bon niveau de culture chez les patients augmente leur nombre de réponses positives au placébo	34. Concernant le placebo (4) :	UE7S110334	VRAI							? segmo
E. Un comprimé placébo de couleur rouge ou une administration I.V (intraveineux) du placebo augmente le nombre de réponses positives au placébo	34. Concernant le placebo (4) :	UE7S110334	VRAI							segmo
A. L'angoisse n'est pas somatisée	35. Concernant l'angoisse et l'anxiété (3) :	UE7S110335	FAUX							segmo
B. L'anxiété est le moteur de l'existence	35. Concernant l'angoisse et l'anxiété (3) :	UE7S110335	FAUX							segmo
C. L'anxiété est une sensation de malaise psychique, de tension anticipatoire	35. Concernant l'angoisse et l'anxiété (3) :	UE7S110335	VRAI							segmo
D. L'angoisse est bénéfique, utile et normale	35. Concernant l'angoisse et l'anxiété (3) :	UE7S110335	VRAI							segmo
E. L'angoisse permet d'organiser des systèmes de sublimation afin de l'éviter	35. Concernant l'angoisse et l'anxiété (3) :	UE7S110335	VRAI							segmo
A. Est un phénomène multidimensionnel	36. Concernant la douleur (4) :	UE7S110336	VRAI							segmo
B. Organise la personnalité comme l'angoisse si elle est modérée	36. Concernant la douleur (4) :	UE7S110336	VRAI							segmo
C. A un rôle de protection et de signal comme l'angoisse si elle est modérée	36. Concernant la douleur (4) :	UE7S110336	VRAI							segmo
D. Une douleur forte peut provoquer une dépression chez un sujet	36. Concernant la douleur (4) :	UE7S110336	VRAI							segmo
E. N'est pas sous la dépendance de récepteurs morphiniques centraux	36. Concernant la douleur (4) :	UE7S110336	FAUX							segmo
A. Est une prise en charge uniquement thérapeutique	37. Concernant la maladie chronique (3) :	UE7S110337	FAUX							segmo
B. Provoque des réactions psychologiques chez un individu	37. Concernant la maladie chronique (3) :	UE7S110337	VRAI							segmo
C. Le sujet réagira différemment selon sa pathologie, son tempérament, sa classe sociale	37. Concernant la maladie chronique (3) :	UE7S110337	VRAI							segmo
D. La réaction d'un sujet face à la maladie chronique est en partie conditionnée par son génome	37. Concernant la maladie chronique (3) :	UE7S110337	VRAI							segmo
E. Peut être une gastro-entérite	37. Concernant la maladie chronique (3) :	UE7S110337	FAUX							segmo
A. Rousseau a dit: «Je est un autre»	38. Parmi ces propositions suivantes lesquelles sont vraies (3) :	UE7S110338	FAUX							segmo
B. Pascal a dit: «Le coeur a ses raisons que la raison ne connaît pas»	38. Parmi ces propositions suivantes lesquelles sont vraies (3) :	UE7S110338	VRAI							segmo
C. Charcot a utilisé l'hypnose pour guérir des conversions hystériques	38. Parmi ces propositions suivantes lesquelles sont vraies (3) :	UE7S110338	VRAI							segmo
D. August Comte est le fondateur de l'introspection	38. Parmi ces propositions suivantes lesquelles sont vraies (3) :	UE7S110338	FAUX	positivisme						segmo
E. Freud est le père de la psychanalyse	38. Parmi ces propositions suivantes lesquelles sont vraies (3) :	UE7S110338	VRAI							segmo
A. le rôle du médecin est uniquement de faire un diagnostic	39. Concernant la relation médecin/malade (2R) :	UE7S110339	FAUX							segmo
B. L'image actuelle du médecin comporte une composante culturelle et une composante psychologique	39. Concernant la relation médecin/malade (2R) :	UE7S110339	VRAI							segmo
C. Le statut du médecin est le même quelle que soit la spécialité	39. Concernant la relation médecin/malade (2R) :	UE7S110339	FAUX							segmo
D. Le médecin généraliste renvoi une image paternelle	39. Concernant la relation médecin/malade (2R) :	UE7S110339	FAUX	maternel						segmo
E. Le médecin spécialiste provoque admiration et crainte pour le patient	39. Concernant la relation médecin/malade (2R) :	UE7S110339	VRAI							segmo
A. L'hospitalisation accentue encore un peu plus la relation d'inégalité entre médecin et malade	40. Concernant la relation médecin/malade (4R) :	UE7S110340	VRAI							segmo
B. Le modèle de Hollender comporte 3 types de relations médecin/malade	40. Concernant la relation médecin/malade (4R) :	UE7S110340	VRAI							segmo
C. On retrouve un médecin directif et un malade coopérant aux urgences ou en chirurgie par exemple	40. Concernant la relation médecin/malade (4R) :	UE7S110340	FAUX	médecin actif, malade passif						segmo
D. Dans les maladies chroniques, il y a participation mutuelle et réciproque	40. Concernant la relation médecin/malade (4R) :	UE7S110340	VRAI							segmo
E. Le modèle de Schneider comprend la relation de service et la relation interpersonnelle	40. Concernant la relation médecin/malade (4R) :	UE7S110340	VRAI							segmo
A. Il s'agit de projections affectives conscientes	41. Concernant le transfert (2R) :	UE7S110341	FAUX							segmo
B. Le transfert est toujours positif	41. Concernant le transfert (2R) :	UE7S110341	FAUX							segmo
C. Un transfert négatif pourra conduire à des sentiments d'antipathie, de méfiance envers le médecin	41. Concernant le transfert (2R) :	UE7S110341	VRAI							segmo
D. Il n'y a aucune place pour l'empathie dans la relation médecin/malade	41. Concernant le transfert (2R) :	UE7S110341	FAUX							segmo
E. Le transfert positif est un critère de bonne prise en charge du patient	41. Concernant le transfert (2R) :	UE7S110341	VRAI							segmo
A. Il s'agit de mouvements affectifs inconscients	42. Concernant le contre-transfert (3R) :	UE7S110342	VRAI							segmo
B. Est en rapport avec le propre vécu infantile du patient	42. Concernant le contre-transfert (3R) :	UE7S110342	FAUX							segmo
C. Dépend notamment de l'âge, du sexe et du statut social du patient	42. Concernant le contre-transfert (3R) :	UE7S110342	VRAI							segmo
D. Le contre-transfert est un élément essentiel à la bonne prise en charge du patient	42. Concernant le contre-transfert (3R) :	UE7S110342	FAUX							segmo
E. Un contre-transfert négatif pourra avoir des effets thérapeutiques contraires pour le patient	42. Concernant le contre-transfert (3R) :	UE7S110342	VRAI							segmo
A. C'est la création de symptomes par le patient lui-même	43. Concernant la iatrogénie (4R) :	UE7S110343	FAUX							segmo
B. elle peut être générée par la méconnaissance de la porté thérapeutique de la relation médecin/malade	43. Concernant la iatrogénie (4R) :	UE7S110343	VRAI							segmo
C. Elle peut être générée par la méconnaissance de la portée diagnostique de la relation médecin/malade	43. Concernant la iatrogénie (4R) :	UE7S110343	VRAI							segmo
D. elle peut être générée par une information médicale erronée	43. Concernant la iatrogénie (4R) :	UE7S110343	VRAI							segmo
E. elle peut être générée par des excès médicamenteux	43. Concernant la iatrogénie (4R) :	UE7S110343	VRAI							segmo
A. La conception exogène de la maladie définit cette dernière comme un mal héréditaire	44. Concernant la relation médecin/malade (3R) :	UE7S110344	FAUX							segmo
B. La culpabilité dans la maladie dépend de la conception de chacun de la maladie	44. Concernant la relation médecin/malade (3R) :	UE7S110344	VRAI							segmo
C. Dans notre société, la maladie est vue comme endogène, ce qui implique pour le médecin de trouver la maladie physique	44. Concernant la relation médecin/malade (3R) :	UE7S110344	FAUX	exogène, cause extérieur						segmo
D. Le fait de poser un diagnostic sur la souffrance d'un patient lui permet de se déculpabiliser	44. Concernant la relation médecin/malade (3R) :	UE7S110344	VRAI							segmo
E. Le statut de malade vis à vis du médecin et de la société s'apprend petit à petit	44. Concernant la relation médecin/malade (3R) :	UE7S110344	VRAI							segmo
A. La réaction de chaque patient face à l'annonce de la maladie est toujours prévisible	45. Concernant la relation médecin/malade (2R) :	UE7S110345	FAUX							segmo
B. L'intervention du médecin n'est d'aucune utilité à l'existence de la maladie	45. Concernant la relation médecin/malade (2R) :	UE7S110345	FAUX							segmo
C. le diagnostic est une source de danger pour le patient mais aussi une source d'espoir	45. Concernant la relation médecin/malade (2R) :	UE7S110345	VRAI							segmo
D. Le médecin se doit d'accompagner le patient dans toutes les phases de sa maladie	45. Concernant la relation médecin/malade (2R) :	UE7S110345	VRAI							segmo
E. Un mauvais dialogue entre médecin et malade n'aura aucune répercussion sur le traitement. 	45. Concernant la relation médecin/malade (2R) :	UE7S1103	FAUX							segmo
A. La régression est la réaction la plus fréquente	46. Concernant les réactions psychologiques face à la maladie (3R) :	UE7S110346	FAUX	dépendance						segmo
B. Dans la dépendance, on peut observer une amplification ou un refus de la maladie	46. Concernant les réactions psychologiques face à la maladie (3R) :	UE7S110346	VRAI							segmo
C. Le déni de la maladie induit un refus de la maladie, un refus de consultation et de soins	46. Concernant les réactions psychologiques face à la maladie (3R) :	UE7S110346	VRAI							segmo
D. La régression est une réaction liée à la surestimation de la possibilité de guérir	46. Concernant les réactions psychologiques face à la maladie (3R) :	UE7S110346	FAUX							segmo
E. la réaction persécutive entraîne généralement une agressivité et des revendications du malade envers le médecin	46. Concernant les réactions psychologiques face à la maladie (3R) :	UE7S110346	VRAI							segmo
A. La vulnérabilité psychologique à l'annonce d'une maladie est augmentée vers 40/45 ans	47. Concernant la relation médecin/malade (3R) :	UE7S110347	VRAI							segmo
B. La personnalité joue un rôle important dans les réactions psychologiques	47. Concernant la relation médecin/malade (3R) :	UE7S110347	VRAI							segmo
C. La nature de la maladie ne joue pas du tout sur la réaction psychologique	47. Concernant la relation médecin/malade (3R) :	UE7S110347	FAUX							segmo
D. L'annonce diagnostic est un moment important qui nécessite de prendre en compte le patient dans sa totalité	47. Concernant la relation médecin/malade (3R) :	UE7S110347	VRAI							segmo
E. Il existe maintenant des annonces diagnostic standardisées en fonction du type de patient.	47. Concernant la relation médecin/malade (3R) :	UE7S110347	FAUX							segmo
A. La grande partie du processus permettant la mise en œuvre du langage est acquise.	1) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120301	FAUX	A. Faux, car la grande partie de mise en œuvre du langage est innée						
B. Le langage humain est caractéristique car il est articulé, et complexe.	1) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120301	VRAI							
C. D'après la définition du langage, on peut dire que les singes communiquent entre eux avec leur propre langage.	1) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120301	VRAI	C. Vrai, car le langage est un système d'origine humaine OU NON, utilisé à des FINS DE COMMUNICATION						
D. Le langage ne s'applique que pour l'homme.	1) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120301	FAUX	D. Faux, le langage est un système d'origine humaine OU NON, utilisé à des FINS DE COMMUNICATION						
E. C'est Saussure qui a défini un système de signes avec le signifiant, et le signifié.	1) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120301	VRAI							
A. Le signifiant selon Saussure, représente le « sens ».	2) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120302	FAUX	A. Faux, le signifiant est l'expression phonique						
B. Le signifiant selon Saussure représente l'expression phonique.	2) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120302	VRAI							
C. Le langage peut être un outil d'enfermement.	2) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120302	VRAI							
D. La langue reflète la structure psychologique de l'individu.	2) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120302	FAUX	D. Faux, car la parole reflète la structure psychologique de l'individu, alors que la langue est celle du groupe						
E. La langue selon Saussure, impose notre vision du monde.	2) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120302	VRAI							
A. La pensée réflexive est le propre de l'homme.	3) Parmi les propositions suivantes concernant la communication, indiquez la (les) proposition(s) exacte(s) :	UE7T120303	VRAI							
B. Le rythme et la mélodie n'ont aucune importance dans le développement du langage proprement dit.	3) Parmi les propositions suivantes concernant la communication, indiquez la (les) proposition(s) exacte(s) :	UE7T120303	FAUX	B. Faux, le langage corporel (donc importance rythme et mélodie) précède le langage proprement dit !						
C. Le système auditif du nourrisson n'est fonctionnel qu'en post partum.	3) Parmi les propositions suivantes concernant la communication, indiquez la (les) proposition(s) exacte(s) :	UE7T120303	FAUX	C. Faux, système auditif du nourrisson est fonctionnel en pré partum (2 derniers mois de grossesse)						
D. Les vocalisations du bébé, système de production de sons, commencent dès la naissance.	3) Parmi les propositions suivantes concernant la communication, indiquez la (les) proposition(s) exacte(s) :	UE7T120303	VRAI							
E. Le babillage précède les vocalisations.	3) Parmi les propositions suivantes concernant la communication, indiquez la (les) proposition(s) exacte(s) :	UE7T120303	FAUX	E. Faux, le babillage suit les vocalisations, puisqu'il intervient à partir de 6 mois						
A. Entre 16 et 20 mois, le bébé possède un répertoire de plus ou moins 50 mots.	4) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120304	FAUX	A. Faux, car c'est entre 12 et 16 mois qu'il y a un répertoire de 50 mots, ce sont les PREMIERS MOTS						
B. A 3 ans, l'enfant utilise le pronom personnel « je ».	4) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120304	VRAI							
C. La période de babillage est une étape importante pour le bébé, car il découvre les caractéristiques, et l'organisation de sa langue. Il préfère ainsi la langue de sa mère.	4) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120304	VRAI							
D. Une petite fille de 22 mois est normalement capable de dire plusieurs phrases.	4) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120304	VRAI							
E. Il y a un accroissement très rapide du vocabulaire entre 12 et 16 mois.	4) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120304	FAUX	E . Faux, accroissement très lent du vocabulaire						
A. Le langage est un mode de représentation du monde intérieur, et d'expression du monde extérieur.	5) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120305	FAUX	A. Faux, c'est le contraire, car le langage est un mode de représentation du monde extérieur, et un mode d'expression du monde intérieur						
B. L'expression du monde extérieur est fonction de la qualité relationnelle, c'est un lien à double entrée puisqu'il est lié au développement de la personnalité, et à celui du langage.	5) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120305	FAUX	B. Faux, c'est l'expression du monde intérieur, et non extérieur						
C. Le langage peut être associé à des pathologies psychiatriques.	5) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120305	VRAI							
D. L'absence de langage chez un enfant de 2 ans peut être reconnue comme une pathologie.	5) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120305	VRAI	D. Vrai, disons qu'il est de mauvais augure, peut être dû à une relation symbiotique						
E. Le médecin doit faire attention aux mots utilisés car ils peuvent être un lien entre affect et représentation.	5) Parmi les propositions suivantes concernant le langage, indiquez la (les) proposition(s) exacte(s) :	UE7T120305	VRAI							
A. L'acquisition d'un corps sexué peut être source de fierté ou d'angoisse.	6) Parmi les propositions suivantes concernant l'adolescence, indiquez la (les) proposition(s) exacte(s) :	UE7T120306	VRAI							
B. Les looks provocants sont des mécanismes de défenses, chez l'adolescent.	6) Parmi les propositions suivantes concernant l'adolescence, indiquez la (les) proposition(s) exacte(s) :	UE7T120306	VRAI							
C. Dans les relations adolescent-entourage, la critique des adultes n'est pas nécessaire.	6) Parmi les propositions suivantes concernant l'adolescence, indiquez la (les) proposition(s) exacte(s) :	UE7T120306	FAUX	C. Faux, cette critique des adultes par l'ado est nécessaire notamment pour permettre un travail de séparation, de prise de distance						
D. Durant l'adolescence, il y a beaucoup de questionnement sur le monde et la société.	6) Parmi les propositions suivantes concernant l'adolescence, indiquez la (les) proposition(s) exacte(s) :	UE7T120306	VRAI							
E. L'adolescence est une période de construction, où l'adolescent se cherche, et peut s'identifier aux figures parentales.	6) Parmi les propositions suivantes concernant l'adolescence, indiquez la (les) proposition(s) exacte(s) :	UE7T120306	VRAI							
A. La personnalité est constituée, mais n'est toujours pas stable.	7) Parmi les propositions suivantes concernant l'âge adulte, indiquez la (les) proposition(s) exacte(s) :	UE7T120307	FAUX	A. Faux, perso constituée et relativement STABLE à l'âge adulte						
B. L'adulte est confronté à des événements de vie, comme par exemple la naissance d'un enfant.	7) Parmi les propositions suivantes concernant l'âge adulte, indiquez la (les) proposition(s) exacte(s) :	UE7T120307	VRAI							
C. Il n'y a pas de processus de deuil à l'âge adulte, ils vont surtout se manifester en vieillissant.	7) Parmi les propositions suivantes concernant l'âge adulte, indiquez la (les) proposition(s) exacte(s) :	UE7T120307	FAUX	C. Faux, justement si ! Les processus de deuil font partie des crises de vie, c'est par exemple la retraite ! mais les processus de deuil s'intensifient quand on devient vieux !						
D. Les crises de la vie sont sujettes à des décompensations somatiques.	7) Parmi les propositions suivantes concernant l'âge adulte, indiquez la (les) proposition(s) exacte(s) :	UE7T120307	VRAI	D. Vrai, c'est-à-dire que des crises de vie (moments importants) peuvent entraîner des maladies somatiques et psychiatriques						
E. La personne âgée sollicite les assises narcissiques.	7) Parmi les propositions suivantes concernant l'âge adulte, indiquez la (les) proposition(s) exacte(s) :	UE7T120307	VRAI							
A. Lorsque le pronostic vital est engagé, l'accompagnement du patient jusqu'au bout se fait beaucoup plus par les psychologues, et psychiatres.	8) Parmi les propositions suivantes concernant la maladie, la mort et le deuil, indiquez la (les) proposition(s) exacte(s) :	UE7T120308	FAUX	A. Faux, car l'accompagnement vers la mort doit se faire surtout par les soignants, cependant les psychologues et psychiatres aident, mais il ne faut pas se « décharger » sur eux. Ils ne sont donc pas les seuls acteurs						
B. Dans le service de soins palliatifs, il n'y a aucun échange sur la mort, surtout pour ne pas engendrer un stress chez le patient.	8) Parmi les propositions suivantes concernant la maladie, la mort et le deuil, indiquez la (les) proposition(s) exacte(s) :	UE7T120308	FAUX	B. Faux, au contraire, le sujet de la mort est important, il n'est pas imposé mais il reste omniprésent. Surtout quand le patient a peur de mourir, il peut faire part de ses angoisses aux soignants, qui vont essayer de l'aider au mieux. Les rites de deuil sont très importants aussi, l'hôpital peut faire venir un représentant de chaque religion, si le patient le souhaite (MAIS NE JAMAIS RIEN IMPOSER). NB : Les soins palliatifs ont pour objectif de soulager la douleur physique et psychique d'un patient						
C. A partir de 2 ans, il y a une notion de la mort.	8) Parmi les propositions suivantes concernant la maladie, la mort et le deuil, indiquez la (les) proposition(s) exacte(s) :	UE7T120308	VRAI	2-6 ans : notion de mort et de vie, état différent mais réversible						
D. Il y a différentes notions de mort selon l'époque.	8) Parmi les propositions suivantes concernant la maladie, la mort et le deuil, indiquez la (les) proposition(s) exacte(s) :	UE7T120308	VRAI							
E. L'adaptation des soins est fonction de l'âge du patient, mais surtout pas de sa personnalité.	8) Parmi les propositions suivantes concernant la maladie, la mort et le deuil, indiquez la (les) proposition(s) exacte(s) :	UE7T120308	FAUX	E. Faux, au contraire adaptation des soins en fonction de l âge, des besoins de développement, et surtout de la PERSONNALITE du patient !!						
A. Le principe de plaisir est une pulsion.	9) Parmi les propositions suivantes concernant les principes du fonctionnement psychique, indiquez la (les) proposition(s) exacte(s) :	UE7T120309	VRAI	A. Vrai, le principe de plaisir est une décharge ou une pulsion puisqu'il doit se faire maintenant, en utilisant les voies les plus courtes de la satisfaction						
B. Le principe de réalité permet de différer la satisfaction en utilisant des voies détournées mais il n'empêche pas de mettre l'individu en conflit.	9) Parmi les propositions suivantes concernant les principes du fonctionnement psychique, indiquez la (les) proposition(s) exacte(s) :	UE7T120309	FAUX	B. Faux, au contraire, le principe de réalité permet une obtention de satisfaction mais justement en empêchant le conflit de l'individu						
C. Le principe de réalité est un principe inné.	9) Parmi les propositions suivantes concernant les principes du fonctionnement psychique, indiquez la (les) proposition(s) exacte(s) :	UE7T120309	FAUX	C. Faux, le principe de réalité est un principe ACQUIS !! Il n'est pas inné puisqu'il n'est pas présent à la naissance, il est mis en place progressivement						
D. Le principe de plaisir est un principe économique.	9) Parmi les propositions suivantes concernant les principes du fonctionnement psychique, indiquez la (les) proposition(s) exacte(s) :	UE7T120309	VRAI	D. Vrai, principe de plaisir = principe d'économie = pulsion = décharge						
E. Les frustrations permettent une meilleure décharge du plaisir.	9) Parmi les propositions suivantes concernant les principes du fonctionnement psychique, indiquez la (les) proposition(s) exacte(s) :	UE7T120309	FAUX	E. Faux, c'est contraire au principe de plaisir, qui est une décharge ! Donc il faut les voies les plus courtes pour l'obtenir. Or les frustrations augmentent les tensions donc allongent les voies d'obtention donc augmentent le déplaisir. Attention, j'ai bien précisé décharge de plaisir. Parfois les obstacles peuvent justement augmenter la satisfaction mais elle ne sera pas sous forme de décharge !						
A. La théorie de l'attachement a été développée par Bowlby.	10) Parmi les propositions suivantes concernant diverses notions, indiquez la (les) proposition(s) exacte(s) :	UE7T120310	VRAI							
B. La théorie de l'attachement a été développée par Spitz.	10) Parmi les propositions suivantes concernant diverses notions, indiquez la (les) proposition(s) exacte(s) :	UE7T120310	FAUX	B. Faux, Spitz a plutôt décrit 3 organisateurs dans les phases du développement affectif, qui sont (je vous le rappelle) le sourire des 1ers mois, l'angoisse du 8 ème mois, et le non autour du 18 ème mois<br>attachement : Bowlby						
C. L'attachement du nourrisson pour sa mère se traduit toujours par des comportements non caractéristiques de notre espèce.	10) Parmi les propositions suivantes concernant diverses notions, indiquez la (les) proposition(s) exacte(s) :	UE7T120310	FAUX	C. Faux, car il y a des comportements caractéristiques de notre espèce (comme sourire) mais aussi non caractéristiques (suivre, s'accrocher).						
D. L'attachement chez le nourrisson a un rôle de socialisation vers le monde extérieur.	10) Parmi les propositions suivantes concernant diverses notions, indiquez la (les) proposition(s) exacte(s) :	UE7T120310	VRAI							
E. La fiabilité et la continuité des relations précoces sont indispensables pour un attachement sain entre le nourrisson et sa mère, et ces caractéristiques sont considérées comme un besoin chez l'enfant.	10) Parmi les propositions suivantes concernant diverses notions, indiquez la (les) proposition(s) exacte(s) :	UE7T120310	VRAI							
A. L'asymétrie de la pyramide des âges illustre la différence d'espérance de vie entre les deux sexes.	11) Concernant l'état de la population en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120311	VRAI							
B. Environ 1/3 de la population est sans diplôme mais le niveau de formation de la population est en augmentation.	11) Concernant l'état de la population en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120311	VRAI							
C. L'indice de fécondité étant l'un des plus élevés d'Europe et le solde naturel étant positif, l'immigration est donc superflue en ce qui concerne la limitation du vieillissement démographique.	11) Concernant l'état de la population en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120311	FAUX	C. Faux, sans l'immigration le vieillissement démographique se trouverait accéléré						
D. Les femmes ont leur premier enfant, en moyenne, à l'âge de 30 ans.	11) Concernant l'état de la population en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120311	VRAI							
E. La mortalité augmente de façon logarithmique avec l'âge.	11) Concernant l'état de la population en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120311	VRAI							
A. L'épidémiologie analytique juge de l'efficacité et de l'efficience des actions mises en œuvre pour répondre aux problèmes de santé dans la population.	12) Concernant l'épidémiologie en France, parmi les propositions suivantes lesquelles sont exactes ?	UE7T120312	FAUX	A. Faux, c'est l'épidémiologie d'évaluation						
B. L'OMS définit trois dimensions à la santé : physique, mentale et sociale.	12) Concernant l'épidémiologie en France, parmi les propositions suivantes lesquelles sont exactes ?	UE7T120312	VRAI							
C. Les facteurs de risque environnementaux peuvent faire l'objet de réglementations voire de sanctions, de la part de l'Etat ou des collectivités territoriales.	12) Concernant l'épidémiologie en France, parmi les propositions suivantes lesquelles sont exactes ?	UE7T120312	VRAI							
D. La morbidité exprimée est mesurée dans la population par une enquête.	12) Concernant l'épidémiologie en France, parmi les propositions suivantes lesquelles sont exactes ?	UE7T120312	FAUX	"<span style=""font-family: Arial"">ressentie = par le patient&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">exprimée = par le recours aux soins&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">diagnostiquée = par un professionel de santé&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">objective = mesurée au sein de la population grâce à des enquêtes</span>"						
E. À long terme, les addictions peuvent présenter un retentissement social.	12) Concernant l'épidémiologie en France, parmi les propositions suivantes lesquelles sont exactes ?	UE7T120312	VRAI							
