<div>A. Le rubidium (Rb).</div><div>B. Le tellure(Te).</div><div>C. Le fluor (F).</div><div>D. Le soufre (S).</div><div>E. Le chlore (Cl).</div>	1. Parmi les atomes cités, lequel est le plus électronégatif.	UE1T130201	C							
C. Un électron appartenant à la sous-couche 3s est plus retenu par le noyau qu'un électron appartenant à la sous-couche 4p.	5. Considérons un atome polyélectronique. parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130205	VRAI							
D. Un électron appartenant à la sous-couche 4p est plus retenu par le noyau qu'un électron appartenant à la sous-couche 3s.	5. Considérons un atome polyélectronique. parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130205	FAUX							
E. Les électrons occupent dans l'état fondamental les orbitales atomiques de plus haute énergie.	5. Considérons un atome polyélectronique. parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130205	FAUX	E. De plus basse énergie.						
A. Ca a pour configuration électronique, à l'état fondamental, 1s2 2s2 2p 6 3s2 3p6 4s2	6. On considère le Calcium Ca (Z=20).	UE1T130206	VRAI							
B. Ca a pour configuration électronique, à l'état fondamental, 1s2 2s2 2p 6 3s2 3p6 3d2	6. On considère le Calcium Ca (Z=20).	UE1T130206	FAUX							
C. Ca2+ a pour configuration électronique, à l'état fondamental, 1s2 2s2 2p 6 3s2 3p4 4s2	6. On considère le Calcium Ca (Z=20).	UE1T130206	FAUX	C. Ce sont les électrons de le couche la plus externe qui partent en premier.						
D. Ca2+ a pour configuration électronique, à l'état fondamental, 1s2 2s2 2p 6 3s2 3p6	6. On considère le Calcium Ca (Z=20).	UE1T130206	VRAI							
E. Ca2+ possède 8 électrons de valence.	6. On considère le Calcium Ca (Z=20).	UE1T130206	VRAI							
A. Le Vanadium (V) possède 2 électrons de valence.	7. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130207	FAUX	A. Attention!, pour les éléments de transition, le nombre d'électrons de valence est égal au nombre d'électrons peuplant les niveaux (n-1)d ns soit 3d 4s, 4d 5s, 5d 6s.						
B. Le Vanadium (V) possède 3 électrons de valence.	7. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130207	FAUX	B. Attention!, pour les éléments de transition, le nombre d'électrons de valence est égal au nombre d'électrons peuplant les niveaux (n-1)d ns soit 3d 4s, 4d 5s, 5d 6s.						
C. Le Vanadium (V) possède 5 électrons de valence.	7. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130207	VRAI							
D. Le Gallium (Ga) possède 3 électrons de valence.	7. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130207	VRAI							
E. L'Arsenic (As) possède 5 électrons de valence.	7. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130207	VRAI							
A. Ne a pour configuration électronique, à l'état fondamental, 1s2 2s2 2p6<div>B. σ1s = 1,70</div><div>C. σ2s,2p = 4,5</div><div>D. σ2s,2p = 4,15</div><div>E. Un électron appartenant à la couche 2s,2p a une charge effective Zeff = 5,85</div>	8. Considérons l'atome de Neon Ne (Z=10). En utilisant le modèle de Slater, choisissez la (ou les) affirmation(s) exacte(s) : (On rappelle que σ1s est la constante d'écran subie par un électron 1s de la part de ses voisins)	UE1T130208	ADE	<div>B. Faux, ici σ1s = 0,30 : l'électron</div>E. Vrai Zeff = 10 – 4,15 = 5,85 considéré n'est écranté que par son voisin de la même sous-couche						
A. Un anion d'un élément donné a en général un rayon plus petit qu'un cation de ce même élément.	9. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130209	FAUX	A. Les anions ont en général un rayon plus gros que les cation.						
B. Le rayon de Na+ est plus petit que le rayon de Na car z eff ( 2s, 2 p ) Na + < Z eff ( 3s,3 p ) Na .	9. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130209	FAUX	B. Le rayon de Na+ est plus faible que le rayon de Na car Zeff est plus grand pour Na+.						
C. Pour des ions isoélectroniques, au sein d'une même période, le rayon du cation diminue lorsque la charge augmente.	9. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130209	VRAI							
D. Le rayon de Br- est plus grand que le rayon de Br car z eff ( 3s,3 p ) Br − < Z eff ( 3s,3 p ) Br	9. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130209	VRAI							
E. Al a un rayon supérieur à celui de Na.	9. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130209	FAUX	E. Al a un rayon inférieur à celui de Na (contraction du nuage électronique sur une période)						
A. Les molécules (1) et (2) sont des stéréoisomères configurationnels.	10. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130210	FAUX	A. Les molécules (1) et (2) sont IDENTIQUES. En effet, la seule différence notable entre les deux est l'inversion d'un atome d'hydrogène avec un atome d'oxygène, mais le carbone portant ces atomes porte également deux groupements identiques, C2H5, et n'est donc pas asymétrique. Puisque ces molécules sont identiques, elles ne sont pas des stéréoisomères configurationnels. La proposition A était FAUSSE.	"<img src=""UE1T1302101.png"" /><img src=""UE1T1302102.png"" />"					
B. Les molécules (1) et (3) sont des stéréoisomères conformationnels.	10. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130210	VRAI	B. Les molécules (1) et (3) sont des conformères (isomères conformationnels) car il y a rotation d'un des carbones autour de la liaison simple.	"<img src=""UE1T1302101.png"" /><img src=""UE1T1302103.png"" />"					
C. Les molécules (1) et (4) sont des diastéréomères.	10. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130210	FAUX	C. Les molécules (1) et (4) sont des isomères plans et non des diastéréomères (stéréoisomères).	"<img src=""UE1T1302101.png"" /><img src=""UE1T1302104.png"" />"					
D. L'isomérie plane et la stéréoisomérie sont deux catégories d'isoméries différentes.	10. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130210	VRAI	D. Il faut bien comprendre la différence entre les deux grandes catégories d'isomérie (même formule brute) : l'isomérie plane (formules semi-développées différentes) et la stéréoisomérie (même formule semi-développée).						
E. L'énantiomérie et la diastéréoisomérie sont deux catégories de stéréoisomérie configurationnelle.	10. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130210	VRAI	E. Il existe deux sous-catégories de stéréoisomérie configurationnelle (configurations absolues différentes) : l'énantiomérie (objet et image par un miroir non superposables) et la diastéréoisomérie (stéréoisomères configurationnels non énantiomères).						
A. Dans cette molécule, l'atome de brome est l'atome le plus électronégatif.	11. On s'intéresse à la molécule suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130211	FAUX	A. Faux, l'atome le plus électronégatif est le Cl, par ordre d'électronégativité croissante : I < Br < Cl < F.	"<img src=""UE1T1302111.png"" />"					
B. La configuration de cette molécule est (2R ; 3R).	11. On s'intéresse à la molécule suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130211	FAUX		"<img src=""UE1T1302111.png"" />"					
C. La configuration de cette molécule est (2S ; 3R).	11. On s'intéresse à la molécule suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130211	VRAI		"<img src=""UE1T1302111.png"" />"					
D. Cette molécule est active sur la lumière polarisée.	11. On s'intéresse à la molécule suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130211	VRAI	D. Vrai, toute molécule qui possède un énantiomère est active sur la lumière polarisée.	"<img src=""UE1T1302111.png"" />"					
E. Cette molécule possède un énantiomère.	11. On s'intéresse à la molécule suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130211	VRAI	E. Vrai, elle possède un énantiomère de configuration (2R ;3S) qui est son image dans un miroir mais qui ne lui est pas superposable.	"<img src=""UE1T1302111.png"" />"					
A. La molécule (1) est un dérivé érythro.	12. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130212	VRAI	A. La molécule (1) est un dérivé érythro car ses substituants identiques sont du même côté de la chaîne carbonée principale.	"<img src=""UE1T1302121.png"" />"					
B. La molécule (2) est un dérivé thréo.	12. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130212	VRAI	B. La molécule (2) est un dérivé thréo car ses substituants identiques sont de part et d'autre de la chaîne carbonée principale.	"<img src=""UE1T1302122.png"" />"					
C. La molécule (3) est un dérivé unlike.	12. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130212	VRAI	C. Attention : les dénominations « érythro/thréo » et « like/unlike » n'ont rien à voir ! La molécule (3) est un dérivé unlike car ses deux carbones asymétriques ont des configurations absolues différentes (2R , 3S).	"<img src=""UE1T1302123.png"" />"					
D. La molécule (4) est active sur la lumière polarisée.	12. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130212	FAUX	D. La molécule (4) n'est pas une molécule chirale car il s'agit d'un dérivé méso (existence d'un plan de symétrie) : elle n'est donc pas active sur la lumière polarisée.	"<img src=""UE1T1302124.png"" />"					
E. Etant des isomères, les molécules (1) et (3) ont des propriétés physiques et chimiques totalement différentes.	12. On considère les quatre molécules suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130212	FAUX	E. Les molécules (1) et (3) sont des énantiomères : leurs propriétés physiques et chimiques ne différent que vis-à-vis des phénomènes chiraux et sont identiques vis-à-vis de phénomènes achiraux.	"<img src=""UE1T1302121.png"" /><img src=""UE1T1302123.png"" />"					
A. La réaction se produit plus facilement avec le composé (2).	13. On considère l'action de l'acide chlorhydrique sur les deux composés suivants : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130213	FAUX	A. Faux, il s'agit ici d'une addition électrophile, qui passe par la formation d'un carbocation. Le composé (1) permet de former un carbocation tertiaire tandis que le composé (2) permet la formation de deux carbocations : un carbocation secondaire majoritaire et un carbocation primaire minoritaire. La réaction est gouvernée par la règle de Markovnikov : on forme préférentiellement le carbocation le plus substitué. Ainsi la réaction se produit plus facilement à partir du composé (1).	"<img src=""UE1T1302131.png"" />"					
"B. Le produit formé à partir du composé (1) est le suivant :<div><img src=""UE1T1302132.png"" /></div>"	13. On considère l'action de l'acide chlorhydrique sur les deux composés suivants : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130213	VRAI	B. Vrai, le produit formé est celui résultant du carbocation tertiaire formé : on a fixation d'un proton permettant de former ce carbocation puis attaque du nucléofuge. Un seul produit est formé, le carbocation primaire étant bien moins stable que le carbocation tertiaire il ne se forme pas.	"<img src=""UE1T1302131.png"" />"					
C. La réaction mettant en jeu le composé (2) passe majoritairement par un carbocation primaire.	13. On considère l'action de l'acide chlorhydrique sur les deux composés suivants : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130213	FAUX	C. Faux, la réaction passant par le composé (2) met certes en jeu un carbocation primaire mais c'est le carbocation secondaire qui est formé majoritairement.	"<img src=""UE1T1302131.png"" />"					
D. Avec le composé (2) on obtient un mélange de deux composés.	13. On considère l'action de l'acide chlorhydrique sur les deux composés suivants : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130213	VRAI	D. Vrai, avec le composé (2) on obtient un mélange de deux composés dont l'un est issu du carbocation primaire et l'autre, majoritaire, est issu du carbocation secondaire.	"<img src=""UE1T1302131.png"" />"					
"E. Le mélange des deux composés suivants est obtenu à partir du composé (1) :<div><img src=""UE1T1302133.png"" /></div>"	13. On considère l'action de l'acide chlorhydrique sur les deux composés suivants : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130213	FAUX	E. Faux, le carbocation primaire ne se forme pas, on obtient seulement un composé, issu du carbocation tertiaire.	"<img src=""UE1T1302131.png"" />"					
A. Il s'agit d'une réaction d'addition électrophile appelée réaction d'hydratation d'un alcène.	14. On considère la réaction suivante : on précise que le produit A est majoritaire par rapport au produit B. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130214	VRAI	A. L'hydratation des alcènes est une réaction d'addition électrophile d'une molécule d'eau. Elle a lieu en présence d'une quantité catalytique d'un acide Brönsted (par exemple l'ion H+) et conduit à la formation d'alcools.	"<img src=""UE1T1302141.png"" />"					
B. Lors de cette réaction, il y a formation d'un intermédiaire réactionnel qui suit la règle de Markovnikov.	14. On considère la réaction suivante : on précise que le produit A est majoritaire par rapport au produit B. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130214	VRAI	B. Comme dans toutes les réactions d'addition électrophile, il y a formation d'un carbocation, intermédiaire réactionnel suivant la règle de Markovnikov.	"<img src=""UE1T1302141.png"" />"					
C. Lors de cette réaction, il y a formation d'un ion alkyloxonium.	14. On considère la réaction suivante : on précise que le produit A est majoritaire par rapport au produit B. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130214	VRAI	C. Il y a bien formation d'un ion alkyloxonium, c'est-à-dire d'un ion H2O+-R.	"<img src=""UE1T1302141.png"" />"					
D. Le composé A est le 3,3-diméthylbutan-1-ol.	14. On considère la réaction suivante : on précise que le produit A est majoritaire par rapport au produit B. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130214	FAUX	D. 2 carbocations différents sont formés au cours de cette réaction : un secondaire, minoritaire, conduisant au composé B, et un tertiaire, issu de la transposition d'un groupement méthyle, majoritaire, conduisant au composé A. Le carbocation primaire étant vraiment moins stable, il n'est pas formé, et le 3,3-diméthylpropan-1-ol n'est donc pas un produit.	"<img src=""UE1T1302141.png"" />"					
"E. Le composé B est le suivant :<div><img src=""UE1T1302142.png"" /></div>"	14. On considère la réaction suivante : on précise que le produit A est majoritaire par rapport au produit B. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130214	VRAI	E. Ce composé est issu du carbocation secondaire et est donc le produit minoritaire de la réaction (B). (Attention à bien lire l'énoncé qui donne des indices importants !) rappel : Il faut être très attentif, lors de la formation d'un carbocation, aux groupements susceptibles de donner lieu à une transposition (en général, il y a beaucoup de ramifications). Il faut également être attentif, de manière générale, à tous les groupements inhabituels.	"<img src=""UE1T1302141.png"" />"					
A. La réaction (1) est une réaction d'élimination.	15. On considère les deux réactions suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130215	FAUX	A. La réaction (1) est une SN1 d'après ces tableaux. L'atome d'iode est le nucléofuge, le carbone étudié est secondaire (l'atome d'hydrogène n'est pas pris en compte) et stabilisé par mésomérie, et il réagit avec un mauvais nucléophile (R- sH).<br /><br />rappel : Il faut impérativement connaître le tableau de la compétition SN1/2/E1/2 PAR CŒUR (c'est l'un des rares apprentissages bêtes et méchants en Chimie organique) ! ! ! Il se trouve à la fin du poly 2, ou à la fin du livre des professeurs pour ceux qui l'ont acheté. Même chose pour le tableau de « classification des nucléophiles ».	"<img src=""UE1T1302151.png"" />"					
B. La réaction (2) est une réaction de substitution nucléophile.	15. On considère les deux réactions suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130215	VRAI	B. La réaction (2) est une SN2 d'après ces tableaux. L'atome de brome est le nucléofuge, le carbone étudié est secondaire, et il réagit avec un bon nucléophile, faiblement basique (MCN).<br /><br />rappel : Il faut impérativement connaître le tableau de la compétition SN1/2/E1/2 PAR CŒUR (c'est l'un des rares apprentissages bêtes et méchants en Chimie organique) ! ! ! Il se trouve à la fin du poly 2, ou à la fin du livre des professeurs pour ceux qui l'ont acheté. Même chose pour le tableau de « classification des nucléophiles ».	"<img src=""UE1T1302152.png"" />"					
C. La réaction (1) suit une cinétique d'ordre 1.	15. On considère les deux réactions suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130215	VRAI	C. Pour la réaction (1) Sn1, la cinétique est donc bien d'ordre 1.<br><br>rappel : Il faut impérativement connaître le tableau de la compétition SN1/2/E1/2 PAR CŒUR (c'est l'un des rares apprentissages bêtes et méchants en Chimie organique) ! ! ! Il se trouve à la fin du poly 2, ou à la fin du livre des professeurs pour ceux qui l'ont acheté. Même chose pour le tableau de « classification des nucléophiles ».	"<img src=""UE1T1302151.png"" />"					
D. La réaction (2) suit une cinétique d'ordre 1.	15. On considère les deux réactions suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130215	FAUX	D. Pour la réaction (2) Sn2, la cinétique est d'ordre 2.<br><br>rappel : Il faut impérativement connaître le tableau de la compétition SN1/2/E1/2 PAR CŒUR (c'est l'un des rares apprentissages bêtes et méchants en Chimie organique) ! ! ! Il se trouve à la fin du poly 2, ou à la fin du livre des professeurs pour ceux qui l'ont acheté. Même chose pour le tableau de « classification des nucléophiles ».	"<img src=""UE1T1302152.png"" />"					
E. Le produit de la réaction (2) est actif sur la lumière polarisée.	15. On considère les deux réactions suivantes : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130215	FAUX	E. Le produit de la réaction (2) est achiral car le carbone de la molécule B porte deux groupements méthyles (il existe donc un plan de symétrie). Les molécules achirales ne sont pas actives sur la lumière polarisée.<br /><br />rappel : Il faut impérativement connaître le tableau de la compétition SN1/2/E1/2 PAR CŒUR (c'est l'un des rares apprentissages bêtes et méchants en Chimie organique) ! ! ! Il se trouve à la fin du poly 2, ou à la fin du livre des professeurs pour ceux qui l'ont acheté. Même chose pour le tableau de « classification des nucléophiles ».	"<img src=""UE1T1302152.png"" />"					
A. La réaction de l'halogénure d'acide avec AlCl 3 permet de préparer la réaction de substitution en formant un nucléophile A.	16. On considère l'enchaînement réactionnel suivant : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130216	FAUX	A. La molécule AlCl3 est un acide de Lewis car l'atome d'aluminium possède une lacune électronique. Elle va donc réagir avec l'halogénure d'acide en détachant de ce dernier l'atome de chlore et son doublet liant pour former -AlCl4. Il y a ainsi formation d'un cation acylium, donc d'un électrophile, et non pas d'un nucléophile : cela prépare une réaction de substitution électrophile aromatique. (Attention à bien lire les propositions jusqu'au bout !)	"<img src=""UE1T1302161.png"" />"					
"B. Le composé A est le suivant :<div><img src=""UE1T1302162.png"" /></div>"	16. On considère l'enchaînement réactionnel suivant : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130216	FAUX	B. L'ion acylium ne se réarrange pas comme le ferait un carbocation classique car il est stabilisé par l'effet mésomère +M de l'atome d'oxygène.	"<img src=""UE1T1302161.png"" />"					
C. La réaction suivante consiste en l'addition du composé A sur la molécule de benzène, puis en l'élimination d'un proton h+ pour former le composé B, une molécule d'acide chlorhydrique et une molécule d'AlCl 3.	16. On considère l'enchaînement réactionnel suivant : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130216	VRAI	C. C'est le mécanisme réactionnel de toutes les substitutions électrophiles aromatiques.	"<img src=""UE1T1302161.png"" />"					
D. L'étape d'élimination d'un proton H+ est l'étape déterminante de vitesse.	16. On considère l'enchaînement réactionnel suivant : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130216	FAUX	D. L'étape déterminante de vitesse est l'étape de fixation de l'électrophile car l'aromaticité de la molécule est momentanément perdue : cela correspond à un maximum sur le profil énergétique de la réaction.	"<img src=""UE1T1302161.png"" />"					
"E. Le composé B est le suivant :<div><img src=""UE1T1302163.png"" /></div>"	16. On considère l'enchaînement réactionnel suivant : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130216	VRAI	E. Il s'agit d'une réaction d'acylation de Friedel et Crafts, dont le mécanisme réactionnel aboutit à la formation d'une liaison C-C et ainsi à l'introduction d'un groupement acyle. La réaction d'alkylation de Friedel et Crafts est basée sur le même principe, mais est soumise à d'éventuels réarrangements de carbocations.	"<img src=""UE1T1302161.png"" />"					
"A. Le composé X est le suivant :<div><img src=""UE1T130217a.png"" /></div>"	17. On considère les deux réactions suivantes : Chacune de ces deux réactions ne suit qu'un seul et unique mécanisme réactionnel. Lorsque l'on augmente la concentration en tert-butanolate de potassium, la vitesse de la réaction (2) augmente tandis que celle de la réaction (1) reste inchangée. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130217	FAUX	A.D'après les tableaux, les réactions (1) et (2) sont des réactions d'élimination. L'atome de chlore est le nucléofuge. D'après l'énoncé, la concentration en tert-butanolate de potassium, c'est-à-dire en base, influence la vitesse de la réaction (2), mais pas celle de la (1) : on en conclut que la réaction (1) est une E1 (règle de vitesse unimoléculaire, d'ordre 1) et que la (2) est une E2 (règle de vitesse bimoléculaire, d'ordre 2).<br />De plus, la règle de Saytzeff prédit que l'alcène le plus substitué, et donc le plus stable, est produit majoritairement. l'alcène Z, minoritaire dans les deux réactions, est donc l'alcène le moins substitué et les alcènes X et Y sont les alcènes les plus substitués.<br />Enfin, l'alcène Y, majoritaire dans la réaction (1), est l'alcène de configuration (E), dont l'encombrement stérique est plus faible, et qui est donc plus stable, que l'alcène X, de configuration (Z). En revanche, dans la réaction (2), qui est une E2, il existe une stéréosélectivité car les atomes de chlore et d'hydrogène s'éliminent en antipériplanaires, c'est-à-dire qu'ils se trouvent dans le même plan et sont opposés l'un à l'autre (angle de 180°). C'est la raison pour laquelle seul l'alcène X est produit.	"<img src=""UE1T1302171.png"" /><img src=""UE1T1302172.png"" />"					
"B. Le composé X est le suivant :<div><img src=""UE1T130217b.png"" /></div>"	17. On considère les deux réactions suivantes : Chacune de ces deux réactions ne suit qu'un seul et unique mécanisme réactionnel. Lorsque l'on augmente la concentration en tert-butanolate de potassium, la vitesse de la réaction (2) augmente tandis que celle de la réaction (1) reste inchangée. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130217	VRAI	B.D'après les tableaux, les réactions (1) et (2) sont des réactions d'élimination. L'atome de chlore est le nucléofuge. D'après l'énoncé, la concentration en tert-butanolate de potassium, c'est-à-dire en base, influence la vitesse de la réaction (2), mais pas celle de la (1) : on en conclut que la réaction (1) est une E1 (règle de vitesse unimoléculaire, d'ordre 1) et que la (2) est une E2 (règle de vitesse bimoléculaire, d'ordre 2).<br />De plus, la règle de Saytzeff prédit que l'alcène le plus substitué, et donc le plus stable, est produit majoritairement. l'alcène Z, minoritaire dans les deux réactions, est donc l'alcène le moins substitué et les alcènes X et Y sont les alcènes les plus substitués.<br />Enfin, l'alcène Y, majoritaire dans la réaction (1), est l'alcène de configuration (E), dont l'encombrement stérique est plus faible, et qui est donc plus stable, que l'alcène X, de configuration (Z). En revanche, dans la réaction (2), qui est une E2, il existe une stéréosélectivité car les atomes de chlore et d'hydrogène s'éliminent en antipériplanaires, c'est-à-dire qu'ils se trouvent dans le même plan et sont opposés l'un à l'autre (angle de 180°). C'est la raison pour laquelle seul l'alcène X est produit.	"<img src=""UE1T1302171.png"" /><img src=""UE1T1302172.png"" />"					
"C. Le composé Y est le suivant :<div><img src=""UE1T130217c.png"" /></div>"	17. On considère les deux réactions suivantes : Chacune de ces deux réactions ne suit qu'un seul et unique mécanisme réactionnel. Lorsque l'on augmente la concentration en tert-butanolate de potassium, la vitesse de la réaction (2) augmente tandis que celle de la réaction (1) reste inchangée. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130217	VRAI	C.D'après les tableaux, les réactions (1) et (2) sont des réactions d'élimination. L'atome de chlore est le nucléofuge. D'après l'énoncé, la concentration en tert-butanolate de potassium, c'est-à-dire en base, influence la vitesse de la réaction (2), mais pas celle de la (1) : on en conclut que la réaction (1) est une E1 (règle de vitesse unimoléculaire, d'ordre 1) et que la (2) est une E2 (règle de vitesse bimoléculaire, d'ordre 2).<br />De plus, la règle de Saytzeff prédit que l'alcène le plus substitué, et donc le plus stable, est produit majoritairement. l'alcène Z, minoritaire dans les deux réactions, est donc l'alcène le moins substitué et les alcènes X et Y sont les alcènes les plus substitués.<br />Enfin, l'alcène Y, majoritaire dans la réaction (1), est l'alcène de configuration (E), dont l'encombrement stérique est plus faible, et qui est donc plus stable, que l'alcène X, de configuration (Z). En revanche, dans la réaction (2), qui est une E2, il existe une stéréosélectivité car les atomes de chlore et d'hydrogène s'éliminent en antipériplanaires, c'est-à-dire qu'ils se trouvent dans le même plan et sont opposés l'un à l'autre (angle de 180°). C'est la raison pour laquelle seul l'alcène X est produit.	"<img src=""UE1T1302171.png"" /><img src=""UE1T1302172.png"" />"					
